mode,total,success,fail,success_rate,avg_steps_success,avg_decision_steps,avg_forced_steps,avg_score_calls
greedy_L,30,30,0,1.0,5.5,5.5,0.0,128.8
greedy_LG,30,30,0,1.0,5.433333333333334,5.433333333333334,0.03333333333333333,128.26666666666668
lookahead_LG_2,30,29,1,0.9666666666666667,5.9655172413793105,5.9655172413793105,0.034482758620689655,4247.1
lookahead_LG_3,30,29,1,0.9666666666666667,5.9655172413793105,5.9655172413793105,0.034482758620689655,16854.833333333332
lookahead_L_2,30,29,1,0.9666666666666667,6.0,6.0,0.0,4385.2
lookahead_L_3,30,29,1,0.9666666666666667,6.0,6.0,0.0,18162.533333333333
