seed,n_vars,n_clauses,level,baseline_useful_IG,reserve_useful_IG,delta_useful_IG,baseline_D_pred,reserve_D_pred,delta_D_pred,baseline_recovered,reserve_recovered,delta_recovered,baseline_reserve_total,reserve_reserve_total,delta_reserve_total
1000042,1000,4270,1,7.466666666666667,7.492063492063492,0.025396825396825307,133.92857142857142,133.47457627118644,-0.45399515738498053,0.0,0.0,0.0,0,0.5079365079365079,0.5079365079365079
1000042,1000,4270,2,23.09004739336493,25.51599206349206,2.42594467012713,43.30870279146141,39.191107973057676,-4.117594818403731,0.0,0.000992063492063492,0.000992063492063492,0,1.992936507936508,1.992936507936508
1000042,1000,4270,3,35.65676567656766,37.95921635246844,2.3024506759007792,28.04516845612736,26.344063341944395,-1.7011051141829654,0.0,0.07189240880647131,0.07189240880647131,0,4.105612564274536,4.105612564274536
1000042,1000,4270,4,47.345454545454544,50.035380309382155,2.6899257639276115,21.121351766513058,19.985857883296422,-1.1354938832166361,0.0,0.005077279079122169,0.005077279079122169,0,6.075309533971506,6.075309533971506
1000042,1000,4270,5,63.411764705882355,61.927303298353124,-1.4844614075292313,15.769944341372913,16.147966191619936,0.3780218502470234,0.0,0.04277170793918152,0.04277170793918152,0,9.190777943557563,9.190777943557563
1000043,1000,4270,1,9.666666666666666,9.666666666666666,0.0,103.44827586206897,103.44827586206897,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.3333333333333333
1000043,1000,4270,2,22.372727272727275,22.380539772727275,0.0078125,44.69727752945956,44.681674801185586,-0.015602728273975686,0.0,0.0078125,0.0078125,0,0.9606060606060605,0.9606060606060605
1000043,1000,4270,3,39.26384364820847,39.26384364820847,0.0,25.46872407499585,25.46872407499585,0.0,0.0,0.0,0.0,0,2.6967624123975913,2.6967624123975913
1000043,1000,4270,4,56.29081632653061,52.831841560052354,-3.4589747664782564,17.764887156711684,18.927979235085537,1.1630920783738539,0.0,0.03735534451350486,0.03735534451350486,0,4.902276196858744,4.902276196858744
1000043,1000,4270,5,57.30783938814532,63.51654785053521,6.208708462389893,17.449619645002002,15.743928690097626,-1.7056909549043766,0.0,0.03884084416578605,0.03884084416578605,0,7.424569190489318,7.424569190489318
1000044,1000,4270,1,8.913461538461538,8.913461538461538,0.0,112.1898597626753,112.1898597626753,0.0,0.0,0.0,0.0,0,0.08653846153846154,0.08653846153846154
1000044,1000,4270,2,22.375565610859727,22.375565610859727,0.0,44.69160768452983,44.69160768452983,0.0,0.0,0.0,0.0,0,0.710972850678733,0.710972850678733
1000044,1000,4270,3,36.8445945945946,37.82236446850294,0.9777698739083434,27.141023289932146,26.439383524865633,-0.7016397650665134,0.0,0.00021681749622926092,0.00021681749622926092,0,1.8888251996720216,1.8888251996720216
1000044,1000,4270,4,45.78238341968912,45.6822429906542,-0.10014042903491571,21.842462652784064,21.890343698854338,0.047881046070273214,0.0,0.0,0.0,0,3.206582209017816,3.206582209017816
1000044,1000,4270,5,56.266932270916335,55.489138915805164,-0.7777933551111715,17.772427954400623,18.02154474801494,0.24911679361431638,0.0,0.012039679163941183,0.012039679163941183,0,4.729482972376594,4.729482972376594
2000042,2000,8540,1,6.631578947368421,6.631578947368421,0.0,301.58730158730157,301.58730158730157,0.0,0.0,0.0,0.0,0,0.3684210526315789,0.3684210526315789
2000042,2000,8540,2,12.721428571428572,13.72549019607843,1.004061624649859,157.21504772599664,145.71428571428572,-11.500762011710918,0.0,0.0,0.0,0,0.6429308565531475,0.6429308565531475
2000042,2000,8540,3,29.40199335548173,32.18769230769231,2.7856989522105806,68.0225988700565,62.135551094541626,-5.887047775514873,0.0,0.0,0.0,0,1.45523854886084,1.45523854886084
2000042,2000,8540,4,43.002267573696145,45.557231030433,2.554963456736857,46.509175279476906,43.90082440840108,-2.608350871075828,0.0,0.0016754748774509805,0.0016754748774509805,0,2.8996829933052846,2.8996829933052846
2000042,2000,8540,5,53.64839319470699,55.23537181712963,1.5869786224226416,37.279774489076814,36.208681759606776,-1.0710927294700383,0.0,0.013149594907407407,0.013149594907407407,0,4.677460771083062,4.677460771083062
2000043,2000,8540,1,4.743589743589744,6.8352941176470585,2.091704374057315,421.6216216216216,292.5989672977625,-129.02265432385911,0.0,0.0,0.0,0,0.1647058823529412,0.1647058823529412
2000043,2000,8540,2,18.752173913043478,17.853371848739496,-0.8988020643039825,106.65430095061443,112.02365676045706,5.369355809842631,0.0,0.004632352941176471,0.004632352941176471,0,0.31596638655462184,0.31596638655462184
2000043,2000,8540,3,31.253644314868804,33.98846943125076,2.734825116381959,63.992537313432834,58.84348526035998,-5.149052053072857,0.0,0.0029621848739495795,0.0029621848739495795,0,1.33045914017781,1.33045914017781
2000043,2000,8540,4,43.75288683602771,46.472978414557154,2.7200915785294413,45.71126946423858,43.035761171991545,-2.675508292247038,0.0,0.02136551133134413,0.02136551133134413,0,2.878846236952004,2.878846236952004
2000043,2000,8540,5,50.78362573099415,52.665399239543724,1.8817735085495713,39.382772915707044,37.975597429788465,-1.4071754859185788,0.0,0.0,0.0,0,4.213446997408278,4.213446997408278
2000044,2000,8540,1,3.7037037037037037,5.833333333333333,2.1296296296296293,540.0,342.8571428571429,-197.1428571428571,0.0,0.0,0.0,0,0.16666666666666666,0.16666666666666666
2000044,2000,8540,2,18.74778761061947,18.74778761061947,0.0,106.67925418928488,106.67925418928488,0.0,0.0,0.0,0.0,0,0.4188790560471976,0.4188790560471976
2000044,2000,8540,3,32.95705521472392,32.95792327027948,0.0008680555555571345,60.685033507073726,60.68343516666729,-0.0015983404064385809,0.0,0.0008680555555555555,0.0008680555555555555,0,1.4618238413232711,1.4618238413232711
2000044,2000,8540,4,37.46099290780142,43.50383631713555,6.042843409334132,53.38886785308595,45.97295708406819,-7.415910769017756,0.0,0.0,0.0,0,2.9579875241877214,2.9579875241877214
2000044,2000,8540,5,49.174311926605505,52.61538461538461,3.4410726887791085,40.67164179104478,38.01169590643275,-2.6599458846120285,0.0,0.0,0.0,0,4.342602908803106,4.342602908803106
