seed,n_vars,n_clauses,stage,level,dropped_before_rebuild,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,base_useful_IG,D_pred,conflict
2000042,2000,8540,before,4,False,1689,32,47,15,13,423,0.030732860520094562,45.55555555555555,43.90243902439025,False
2000042,2000,8540,before,5,False,1659,40,57,17,16,513,0.031189083820662766,55.22222222222222,36.21730382293762,False
2000042,2000,8540,after,4,False,1634,32,45,13,12,426,0.028169014084507043,43.732394366197184,45.73268921095008,False
2000042,2000,8540,after,5,False,1545,40,57,17,15,506,0.029644268774703556,55.31027667984189,36.159645549719514,False
5000042,5000,21350,before,4,False,4784,16,18,2,2,183,0.01092896174863388,17.80327868852459,280.84714548802947,False
5000042,5000,21350,before,5,False,4769,21,24,3,3,281,0.010676156583629894,23.743772241992882,210.58153477218227,False
5000042,5000,21350,after,4,False,4729,32,37,5,5,455,0.01098901098901099,36.5934065934066,136.6366366366366,False
5000042,5000,21350,after,5,False,4697,40,51,11,10,553,0.018083182640144666,50.07775768535262,99.84472610406962,False
