n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
100,4,1,0.25925925925925924,96.0,71.11111111111111,1.40625,108.0,28.0
100,5,1,0.3942857142857143,99.0,59.96571428571428,1.6676195921478942,175.0,69.0
