seed,mode,n_vars,n_clauses,level,unit_count,sampled_units,target_IG,adaptive_triggered,chosen_unit_size,IG,forced,danger,affected,danger_rate,stability,useful_IG,D_pred,conflict
1000042,baseline,1000,4270,1,813,500,0.0,False,4,8,4,4,63,0.06349206349206349,0.9365079365079365,7.492063492063492,133.47457627118644,False
1000042,baseline,1000,4270,2,697,500,8.0,False,16,24,8,8,211,0.037914691943127965,0.9620853080568721,23.09004739336493,43.30870279146141,False
1000042,baseline,1000,4270,3,659,500,16.0,False,24,38,14,12,296,0.04054054054054054,0.9594594594594594,36.45945945945946,27.42772424017791,False
1000042,baseline,1000,4270,4,608,500,23.333333333333332,False,32,49,17,13,385,0.033766233766233764,0.9662337662337662,47.345454545454544,21.121351766513058,False
1000042,baseline,1000,4270,5,527,500,29.75,False,40,66,26,18,459,0.0392156862745098,0.9607843137254902,63.411764705882355,15.769944341372913,False
1000042,adaptive,1000,4270,1,813,500,0.0,False,4,8,4,4,63,0.06349206349206349,0.9365079365079365,7.492063492063492,133.47457627118644,False
1000042,adaptive,1000,4270,2,697,500,8.0,False,16,24,8,8,211,0.037914691943127965,0.9620853080568721,23.09004739336493,43.30870279146141,False
1000042,adaptive,1000,4270,3,659,500,16.0,False,24,38,14,12,296,0.04054054054054054,0.9594594594594594,36.45945945945946,27.42772424017791,False
1000042,adaptive,1000,4270,4,608,500,23.333333333333332,False,32,49,17,13,385,0.033766233766233764,0.9662337662337662,47.345454545454544,21.121351766513058,False
1000042,adaptive,1000,4270,5,527,500,29.75,False,40,66,26,18,459,0.0392156862745098,0.9607843137254902,63.411764705882355,15.769944341372913,False
1000043,baseline,1000,4270,1,842,500,0.0,False,8,9,1,1,118,0.00847457627118644,0.9915254237288136,8.923728813559322,112.0607787274454,False
1000043,baseline,1000,4270,2,753,500,9.0,False,16,23,7,6,220,0.02727272727272727,0.9727272727272728,22.372727272727275,44.69727752945956,False
1000043,baseline,1000,4270,3,719,500,16.0,False,24,41,17,13,307,0.04234527687296417,0.9576547231270358,39.26384364820847,25.46872407499585,False
1000043,baseline,1000,4270,4,672,500,24.333333333333332,False,32,59,27,18,392,0.04591836734693878,0.9540816326530612,56.29081632653061,17.764887156711684,False
1000043,baseline,1000,4270,5,604,500,33.0,False,40,75,35,24,473,0.0507399577167019,0.9492600422832981,71.19450317124736,14.0460282108389,False
1000043,adaptive,1000,4270,1,842,500,0.0,False,7,10,3,3,90,0.03333333333333333,0.9666666666666667,9.666666666666666,103.44827586206897,False
1000043,adaptive,1000,4270,2,753,500,10.0,False,16,23,7,6,220,0.02727272727272727,0.9727272727272728,22.372727272727275,44.69727752945956,False
1000043,adaptive,1000,4270,3,719,500,16.5,False,24,41,17,13,307,0.04234527687296417,0.9576547231270358,39.26384364820847,25.46872407499585,False
1000043,adaptive,1000,4270,4,672,500,24.666666666666668,False,32,59,27,18,392,0.04591836734693878,0.9540816326530612,56.29081632653061,17.764887156711684,False
1000043,adaptive,1000,4270,5,604,500,33.25,False,40,75,35,24,473,0.0507399577167019,0.9492600422832981,71.19450317124736,14.0460282108389,False
1000044,baseline,1000,4270,1,842,500,0.0,False,5,7,2,2,61,0.03278688524590164,0.9672131147540983,6.770491803278688,147.6997578692494,False
1000044,baseline,1000,4270,2,753,500,7.0,False,16,22,6,6,208,0.028846153846153848,0.9711538461538461,21.365384615384617,46.804680468046804,False
1000044,baseline,1000,4270,3,714,500,14.5,False,24,38,14,9,296,0.030405405405405407,0.9695945945945946,36.8445945945946,27.141023289932146,False
1000044,baseline,1000,4270,4,673,500,22.333333333333332,False,32,47,15,10,386,0.025906735751295335,0.9740932642487047,45.78238341968912,21.842462652784064,False
1000044,baseline,1000,4270,5,605,500,28.5,False,40,60,20,16,502,0.03187250996015936,0.9681274900398407,58.08764940239044,17.215363511659806,False
1000044,adaptive,1000,4270,1,842,500,0.0,False,8,9,1,1,104,0.009615384615384616,0.9903846153846154,8.913461538461538,112.1898597626753,False
1000044,adaptive,1000,4270,2,753,500,9.0,False,16,23,7,6,221,0.027149321266968326,0.9728506787330317,22.375565610859727,44.69160768452983,False
1000044,adaptive,1000,4270,3,714,500,16.0,False,24,38,14,9,296,0.030405405405405407,0.9695945945945946,36.8445945945946,27.141023289932146,False
1000044,adaptive,1000,4270,4,673,500,23.333333333333332,False,32,47,15,12,428,0.028037383177570093,0.9719626168224299,45.6822429906542,21.890343698854338,False
1000044,adaptive,1000,4270,5,605,500,29.25,False,40,60,20,16,502,0.03187250996015936,0.9681274900398407,58.08764940239044,17.215363511659806,False
2000042,baseline,2000,8540,1,1842,500,0.0,False,4,7,3,3,57,0.05263157894736842,0.9473684210526316,6.631578947368421,301.58730158730157,False
2000042,baseline,2000,8540,2,1777,500,7.0,False,11,14,3,3,153,0.0196078431372549,0.9803921568627451,13.72549019607843,145.71428571428572,False
2000042,baseline,2000,8540,3,1722,500,10.5,False,24,30,6,4,328,0.012195121951219513,0.9878048780487805,29.634146341463413,67.48971193415638,False
2000042,baseline,2000,8540,4,1689,500,17.0,False,32,47,15,13,423,0.030732860520094562,0.9692671394799054,45.55555555555555,43.90243902439025,False
2000042,baseline,2000,8540,5,1659,500,24.5,False,40,57,17,16,513,0.031189083820662766,0.9688109161793372,55.22222222222222,36.21730382293762,False
2000042,adaptive,2000,8540,1,1842,500,0.0,False,4,5,1,1,60,0.016666666666666666,0.9833333333333333,4.916666666666666,406.7796610169492,False
2000042,adaptive,2000,8540,2,1777,500,5.0,False,11,14,3,3,153,0.0196078431372549,0.9803921568627451,13.72549019607843,145.71428571428572,False
2000042,adaptive,2000,8540,3,1722,500,9.5,False,24,32,8,8,321,0.024922118380062305,0.9750778816199377,31.202492211838006,64.09744408945687,False
2000042,adaptive,2000,8540,4,1689,500,17.0,False,32,44,12,10,441,0.022675736961451247,0.9773242630385488,43.002267573696145,46.509175279476906,False
2000042,adaptive,2000,8540,5,1659,500,23.75,False,40,54,14,14,464,0.03017241379310345,0.9698275862068966,52.37068965517241,38.18930041152264,False
2000043,baseline,2000,8540,1,1825,500,0.0,False,5,7,2,2,85,0.023529411764705882,0.9764705882352941,6.8352941176470585,292.5989672977625,False
2000043,baseline,2000,8540,2,1767,500,7.0,False,15,18,3,3,191,0.015706806282722512,0.9842931937172775,17.717277486910994,112.88416075650119,False
2000043,baseline,2000,8540,3,1733,500,12.5,False,24,29,5,5,326,0.015337423312883436,0.9846625766871165,28.55521472392638,70.03974648189924,False
2000043,baseline,2000,8540,4,1699,500,18.0,False,4,5,1,1,60,0.016666666666666666,0.9833333333333333,4.916666666666666,406.7796610169492,False
