mode,n_vars,level,samples,avg_IG,avg_danger_rate,avg_base_useful_IG,avg_loss,avg_reserve_total,avg_reserve_score,avg_overlap,avg_recovered,avg_useful_IG,avg_chosen_unit_size,D_pred,conflicts
baseline,1000,1,1,8.0,0.06666666666666667,7.466666666666667,0.5333333333333333,0.0,0.0,0.0,0.0,7.466666666666667,4.0,133.92857142857142,0
baseline,1000,2,1,24.0,0.037914691943127965,23.09004739336493,0.9099526066350712,0.0,0.0,0.0,0.0,23.09004739336493,16.0,43.30870279146141,0
baseline,1000,3,1,37.0,0.036303630363036306,35.65676567656766,1.3432343234323434,0.0,0.0,0.0,0.0,35.65676567656766,24.0,28.04516845612736,0
baseline,1000,4,1,49.0,0.033766233766233764,47.345454545454544,1.6545454545454543,0.0,0.0,0.0,0.0,47.345454545454544,32.0,21.121351766513058,0
baseline,1000,5,1,66.0,0.0392156862745098,63.411764705882355,2.588235294117647,0.0,0.0,0.0,0.0,63.411764705882355,40.0,15.769944341372913,0
baseline,2000,1,1,7.0,0.05263157894736842,6.631578947368421,0.3684210526315789,0.0,0.0,0.0,0.0,6.631578947368421,4.0,301.58730158730157,0
baseline,2000,2,1,13.0,0.02142857142857143,12.721428571428572,0.2785714285714286,0.0,0.0,0.0,0.0,12.721428571428572,9.0,157.21504772599664,0
baseline,2000,3,1,30.0,0.019933554817275746,29.40199335548173,0.5980066445182723,0.0,0.0,0.0,0.0,29.40199335548173,24.0,68.0225988700565,0
baseline,2000,4,1,44.0,0.022675736961451247,43.002267573696145,0.9977324263038548,0.0,0.0,0.0,0.0,43.002267573696145,32.0,46.509175279476906,0
baseline,2000,5,1,55.0,0.024574669187145556,53.64839319470699,1.3516068052930057,0.0,0.0,0.0,0.0,53.64839319470699,40.0,37.279774489076814,0
reserve,1000,1,1,8.0,0.06666666666666667,7.466666666666667,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,7.466666666666667,4.0,133.92857142857142,0
reserve,1000,2,1,24.0,0.04,23.04,0.96,1.4933333333333332,0.0,0.0,0.0,23.04,16.0,43.40277777777778,0
reserve,1000,3,1,35.0,0.03169014084507042,33.890845070422536,1.1091549295774648,2.602488262910798,0.06666666666666667,0.041666666666666664,0.0003472222222222222,33.89119229264476,24.0,29.50619120641044,0
reserve,1000,4,1,51.0,0.04392764857881137,48.75968992248062,2.24031007751938,4.8427983404301775,0.38151383014288,0.15625,0.0037257209974890623,48.763415643478105,32.0,20.507177087660505,0
reserve,1000,5,1,66.0,0.043568464730290454,63.12448132780083,2.87551867219917,7.718317012629348,1.7135900924517005,0.55,0.029452329714013605,63.15393365751484,40.0,15.83432641619795,0
reserve,2000,1,1,7.0,0.05263157894736842,6.631578947368421,0.3684210526315789,0.3684210526315789,0.0,0.0,0.0,6.631578947368421,4.0,301.58730158730157,0
reserve,2000,2,1,13.0,0.02142857142857143,12.721428571428572,0.2785714285714286,0.6469924812030075,0.0,0.0,0.0,12.721428571428572,9.0,157.21504772599664,0
reserve,2000,3,1,30.0,0.019933554817275746,29.40199335548173,0.5980066445182723,1.2449991257212798,0.0,0.0,0.0,29.40199335548173,24.0,68.0225988700565,0
reserve,2000,4,1,45.0,0.02631578947368421,43.81578947368421,1.1842105263157894,2.4292096520370694,0.03482142857142857,0.03125,6.801060267857143e-05,43.815857484286894,32.0,45.64557479486128,0
reserve,2000,5,1,57.0,0.027079303675048357,55.456479690522244,1.5435203094777563,3.9727299615148257,0.7365758145363408,0.4,0.009207197681704261,55.46568688820395,40.0,36.058329251942354,0
