n_vars,stage,level,samples,avg_unit_count,avg_chosen_unit_size,avg_IG,avg_forced,avg_danger_rate,avg_base_useful_IG,D_pred,drops
2000,before,4,1,1689.0,32.0,47.0,15.0,0.030732860520094562,45.55555555555555,43.90243902439025,0
2000,before,5,1,1659.0,40.0,57.0,17.0,0.031189083820662766,55.22222222222222,36.21730382293762,0
2000,after,4,1,1634.0,32.0,45.0,13.0,0.028169014084507043,43.732394366197184,45.73268921095008,0
2000,after,5,1,1545.0,40.0,57.0,17.0,0.029644268774703556,55.31027667984189,36.159645549719514,0
5000,before,4,1,4784.0,16.0,18.0,2.0,0.01092896174863388,17.80327868852459,280.84714548802947,0
5000,before,5,1,4769.0,21.0,24.0,3.0,0.010676156583629894,23.743772241992882,210.58153477218227,0
5000,after,4,1,4729.0,32.0,37.0,5.0,0.01098901098901099,36.5934065934066,136.6366366366366,0
5000,after,5,1,4697.0,40.0,51.0,11.0,0.018083182640144666,50.07775768535262,99.84472610406962,0
