seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,base_useful_IG,loss,reserve_size,reserve_total,reserve_score,overlap,recovered,useful_IG,D_pred,conflict
1000042,baseline,1000,4270,1,813,4,8,4,4,60,0.06666666666666667,7.466666666666667,0.5333333333333333,0,0,0.0,0.0,0.0,7.466666666666667,133.92857142857142,False
1000042,baseline,1000,4270,2,697,16,24,8,8,211,0.037914691943127965,23.09004739336493,0.9099526066350712,0,0,0.0,0.0,0.0,23.09004739336493,43.30870279146141,False
1000042,baseline,1000,4270,3,659,24,37,13,11,303,0.036303630363036306,35.65676567656766,1.3432343234323434,0,0,0.0,0.0,0.0,35.65676567656766,28.04516845612736,False
1000042,baseline,1000,4270,4,608,32,49,17,13,385,0.033766233766233764,47.345454545454544,1.6545454545454543,0,0,0.0,0.0,0.0,47.345454545454544,21.121351766513058,False
1000042,baseline,1000,4270,5,527,40,66,26,18,459,0.0392156862745098,63.411764705882355,2.588235294117647,0,0,0.0,0.0,0.0,63.411764705882355,15.769944341372913,False
1000042,reserve,1000,4270,1,813,4,8,4,4,60,0.06666666666666667,7.466666666666667,0.5333333333333333,8,0.5333333333333333,0.0,0.0,0.0,7.466666666666667,133.92857142857142,False
1000042,reserve,1000,4270,2,698,16,24,8,8,200,0.04,23.04,0.96,25,1.4933333333333332,0.0,0.0,0.0,23.04,43.40277777777778,False
1000042,reserve,1000,4270,3,658,24,35,11,9,284,0.03169014084507042,33.890845070422536,1.1091549295774648,43,2.602488262910798,0.06666666666666667,0.041666666666666664,0.0003472222222222222,33.89119229264476,29.50619120641044,False
1000042,reserve,1000,4270,4,584,32,51,19,17,387,0.04392764857881137,48.75968992248062,2.24031007751938,71,4.8427983404301775,0.38151383014288,0.15625,0.0037257209974890623,48.763415643478105,20.507177087660505,False
1000042,reserve,1000,4270,5,489,40,66,26,21,482,0.043568464730290454,63.12448132780083,2.87551867219917,84,7.718317012629348,1.7135900924517005,0.55,0.029452329714013605,63.15393365751484,15.83432641619795,False
2000042,baseline,2000,8540,1,1842,4,7,3,3,57,0.05263157894736842,6.631578947368421,0.3684210526315789,0,0,0.0,0.0,0.0,6.631578947368421,301.58730158730157,False
2000042,baseline,2000,8540,2,1777,9,13,4,3,140,0.02142857142857143,12.721428571428572,0.2785714285714286,0,0,0.0,0.0,0.0,12.721428571428572,157.21504772599664,False
2000042,baseline,2000,8540,3,1722,24,30,6,6,301,0.019933554817275746,29.40199335548173,0.5980066445182723,0,0,0.0,0.0,0.0,29.40199335548173,68.0225988700565,False
2000042,baseline,2000,8540,4,1689,32,44,12,10,441,0.022675736961451247,43.002267573696145,0.9977324263038548,0,0,0.0,0.0,0.0,43.002267573696145,46.509175279476906,False
2000042,baseline,2000,8540,5,1659,40,55,15,13,529,0.024574669187145556,53.64839319470699,1.3516068052930057,0,0,0.0,0.0,0.0,53.64839319470699,37.279774489076814,False
2000042,reserve,2000,8540,1,1842,4,7,3,3,57,0.05263157894736842,6.631578947368421,0.3684210526315789,7,0.3684210526315789,0.0,0.0,0.0,6.631578947368421,301.58730158730157,False
2000042,reserve,2000,8540,2,1777,9,13,4,3,140,0.02142857142857143,12.721428571428572,0.2785714285714286,15,0.6469924812030075,0.0,0.0,0.0,12.721428571428572,157.21504772599664,False
2000042,reserve,2000,8540,3,1721,24,30,6,6,301,0.019933554817275746,29.40199335548173,0.5980066445182723,32,1.2449991257212798,0.0,0.0,0.0,29.40199335548173,68.0225988700565,False
2000042,reserve,2000,8540,4,1689,32,45,13,11,418,0.02631578947368421,43.81578947368421,1.1842105263157894,58,2.4292096520370694,0.03482142857142857,0.03125,6.801060267857143e-05,43.815857484286894,45.64557479486128,False
2000042,reserve,2000,8540,5,1660,40,57,17,14,517,0.027079303675048357,55.456479690522244,1.5435203094777563,65,3.9727299615148257,0.7365758145363408,0.4,0.009207197681704261,55.46568688820395,36.058329251942354,False
