n,seed,colors,level,edge_count,avg_degree,unit_count,chosen_unit_size,IG,forced,affected_edges,dangerous_edges,danger_rate,useful_IG,D,sample_units,top_neighbors,runtime_seconds
1000,1000042,3,4,2000,4.0,60,32,36,4,108,6,0.05555555555555555,34.0,29.41176470588235,500,16,0.03695030004018918
1000,1000042,3,5,2000,4.0,50,40,46,6,113,11,0.09734513274336283,41.52212389380531,24.083546462063087,500,16,0.0472177000483498
1000,1000043,3,4,2000,4.0,61,32,34,2,90,4,0.044444444444444446,32.48888888888889,30.779753761969907,500,16,0.03451999998651445
1000,1000043,3,5,2000,4.0,47,40,43,3,128,2,0.015625,42.328125,23.624953857511997,500,16,0.04448219999903813
