seed,n_vars,n_clauses,ratio,cluster_count,non_singleton_clusters,max_cluster_size_seen,avg_cluster_size,H_var_start,H_cluster_start,H_var_after_G1,H_cluster_after_G1,H_var_after_G2,H_cluster_after_G2,IG_var_G1,IG_cluster_G1,IG_var_G2,IG_cluster_G2,forced_G1,forced_G2,chosen_cluster_size,conflict_G1,conflict_G2
50042,50,213,4.26,13,6,8,3.8461538461538463,50,13,49,13,27,10,1,0,23,3,0,15,8,False,False
50043,50,213,4.26,11,6,8,4.545454545454546,50,11,49,11,35,10,1,0,15,1,0,7,8,False,False
50044,50,213,4.26,11,7,8,4.545454545454546,50,11,49,11,38,10,1,0,12,1,0,4,8,False,False
100042,100,427,4.27,33,14,8,3.0303030303030303,100,33,99,33,88,32,1,0,12,1,0,4,8,False,False
100043,100,427,4.27,29,13,8,3.4482758620689653,100,29,99,29,89,27,1,0,11,2,0,3,8,False,False
100044,100,427,4.27,32,15,8,3.125,100,32,99,32,88,29,1,0,12,3,0,4,8,False,False
200042,200,854,4.27,95,31,8,2.1052631578947367,200,95,199,95,188,93,1,0,12,2,0,4,8,False,False
200043,200,854,4.27,89,30,8,2.247191011235955,200,89,199,89,185,86,1,0,15,3,0,7,8,False,False
200044,200,854,4.27,105,31,8,1.9047619047619047,200,105,199,105,183,102,1,0,17,3,0,9,8,False,False
