n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
1000,4,2,0.07421835980421537,38.5,35.63689941064828,28.094956844956847,141.5,10.5
1000,5,2,0.06439917127071823,52.5,49.11239640883978,20.4469065732802,170.5,11.0
