n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
1000,1000042,1,12,0.075,11.100000000000001,90.09009009009007,,,,,500,250,16,1.05,5.0,80,6,6,6,False,False,,,1.380165862798848,1.317902421902422,33.771929824561404,44.50810810810811,61.42857142857143,90.09009009009007,,,0.1500998999690637
1000,1000042,2,24,0.03365384615384615,23.192307692307693,43.117744610281925,,,,,500,250,16,1.05,5.0,208,7,8,16,False,False,,,1.380165862798848,1.317902421902422,33.771929824561404,44.50810810810811,61.42857142857143,43.117744610281925,,,0.1500998999690637
1000,1000042,3,35,0.03508771929824561,33.771929824561404,29.61038961038961,,,,,500,250,16,1.05,5.0,285,10,11,24,False,False,,,1.380165862798848,1.317902421902422,33.771929824561404,44.50810810810811,61.42857142857143,29.61038961038961,,,0.1500998999690637
1000,1000042,4,46,0.032432432432432434,44.50810810810811,22.467816371144036,,,,,500,250,16,1.05,5.0,370,12,14,32,False,False,,,1.380165862798848,1.317902421902422,33.771929824561404,44.50810810810811,61.42857142857143,22.467816371144036,,,0.1500998999690637
1000,1000042,5,64,0.04017857142857143,61.42857142857143,16.27906976744186,,,,,500,250,16,1.05,5.0,448,18,24,40,False,False,,,1.380165862798848,1.317902421902422,33.771929824561404,44.50810810810811,61.42857142857143,16.27906976744186,,,0.1500998999690637
1000,1000043,1,10,0.03529411764705882,9.647058823529411,103.65853658536587,,,,,500,250,16,1.05,5.0,85,3,3,7,False,False,,,1.246389664553397,1.489519713261649,33.05226480836237,49.232,61.36225596529284,103.65853658536587,,,0.14956699998583645
1000,1000043,2,23,0.035897435897435895,22.174358974358974,45.09713228492137,,,,,500,250,16,1.05,5.0,195,7,7,16,False,False,,,1.246389664553397,1.489519713261649,33.05226480836237,49.232,61.36225596529284,45.09713228492137,,,0.14956699998583645
1000,1000043,3,34,0.027874564459930314,33.05226480836237,30.255112797807296,,,,,500,250,16,1.05,5.0,287,8,10,24,False,False,,,1.246389664553397,1.489519713261649,33.05226480836237,49.232,61.36225596529284,30.255112797807296,,,0.14956699998583645
1000,1000043,4,51,0.034666666666666665,49.232,20.311992200194997,,,,,500,250,16,1.05,5.0,375,13,19,32,False,False,,,1.246389664553397,1.489519713261649,33.05226480836237,49.232,61.36225596529284,20.311992200194997,,,0.14956699998583645
1000,1000043,5,64,0.04121475054229935,61.36225596529284,16.296662895927604,,,,,500,250,16,1.05,5.0,461,19,24,40,False,False,,,1.246389664553397,1.489519713261649,33.05226480836237,49.232,61.36225596529284,16.296662895927604,,,0.14956699998583645
1000,1000044,1,8,0.012658227848101266,7.89873417721519,126.6025641025641,,,,,500,250,16,1.05,5.0,79,1,1,7,False,False,,,1.4141870684243567,1.2274377840415576,35.654545454545456,43.76373626373626,61.89010989010989,126.6025641025641,,,0.1495975999860093
1000,1000044,2,21,0.020942408376963352,20.56020942408377,48.63763687293099,,,,,500,250,16,1.05,5.0,191,4,5,16,False,False,,,1.4141870684243567,1.2274377840415576,35.654545454545456,43.76373626373626,61.89010989010989,48.63763687293099,,,0.1495975999860093
1000,1000044,3,37,0.03636363636363636,35.654545454545456,28.04691483936767,,,,,500,250,16,1.05,5.0,275,10,13,24,False,False,,,1.4141870684243567,1.2274377840415576,35.654545454545456,43.76373626373626,61.89010989010989,28.04691483936767,,,0.1495975999860093
1000,1000044,4,45,0.027472527472527472,43.76373626373626,22.849968612680478,,,,,500,250,16,1.05,5.0,364,10,13,32,False,False,,,1.4141870684243567,1.2274377840415576,35.654545454545456,43.76373626373626,61.89010989010989,22.849968612680478,,,0.1495975999860093
1000,1000044,5,64,0.03296703296703297,61.89010989010989,16.157670454545453,,,,,500,250,16,1.05,5.0,455,15,24,40,False,False,,,1.4141870684243567,1.2274377840415576,35.654545454545456,43.76373626373626,61.89010989010989,16.157670454545453,,,0.1495975999860093
5000,5000042,1,5,0.023809523809523808,4.8809523809523805,1024.3902439024391,,,,,500,250,16,1.05,5.0,42,1,1,4,False,False,,,1.396411842686699,1.5427533055738185,12.403669724770642,19.135802469135804,26.72146118721461,1024.3902439024391,,,0.6422778000123799
5000,5000042,2,8,0.023529411764705882,7.811764705882353,640.0602409638554,,,,,500,250,16,1.05,5.0,85,2,2,6,False,False,,,1.396411842686699,1.5427533055738185,12.403669724770642,19.135802469135804,26.72146118721461,640.0602409638554,,,0.6422778000123799
5000,5000042,3,13,0.045871559633027525,12.403669724770642,403.1065088757396,,,,,500,250,16,1.05,5.0,109,5,5,8,False,False,,,1.396411842686699,1.5427533055738185,12.403669724770642,19.135802469135804,26.72146118721461,403.1065088757396,,,0.6422778000123799
5000,5000042,4,20,0.043209876543209874,19.135802469135804,261.2903225806451,,,,,500,250,16,1.05,5.0,162,7,7,13,False,False,,,1.396411842686699,1.5427533055738185,12.403669724770642,19.135802469135804,26.72146118721461,261.2903225806451,,,0.6422778000123799
5000,5000042,5,28,0.045662100456621,26.72146118721461,187.1155160628845,,,,,500,250,16,1.05,5.0,219,10,10,18,False,False,,,1.396411842686699,1.5427533055738185,12.403669724770642,19.135802469135804,26.72146118721461,187.1155160628845,,,0.6422778000123799
5000,5000043,1,6,0.044444444444444446,5.733333333333333,872.0930232558139,,,,,500,250,16,1.05,5.0,45,2,2,4,False,False,,,1.827751196172249,1.0923344947735192,9.761904761904761,10.66326530612245,19.48979591836735,872.0930232558139,,,0.5658684000372887
5000,5000043,2,8,0.03278688524590164,7.737704918032787,646.1864406779662,,,,,500,250,16,1.05,5.0,61,2,2,6,False,False,,,1.827751196172249,1.0923344947735192,9.761904761904761,10.66326530612245,19.48979591836735,646.1864406779662,,,0.5658684000372887
5000,5000043,3,10,0.023809523809523808,9.761904761904761,512.1951219512196,,,,,500,250,16,1.05,5.0,84,2,2,8,False,False,,,1.827751196172249,1.0923344947735192,9.761904761904761,10.66326530612245,19.48979591836735,512.1951219512196,,,0.5658684000372887
5000,5000043,4,11,0.030612244897959183,10.66326530612245,468.89952153110045,,,,,500,250,16,1.05,5.0,98,3,3,8,False,False,,,1.827751196172249,1.0923344947735192,9.761904761904761,10.66326530612245,19.48979591836735,468.89952153110045,,,0.5658684000372887
5000,5000043,5,20,0.025510204081632654,19.48979591836735,256.544502617801,,,,,500,250,16,1.05,5.0,196,5,5,15,False,False,,,1.827751196172249,1.0923344947735192,9.761904761904761,10.66326530612245,19.48979591836735,256.544502617801,,,0.5658684000372887
5000,5000044,1,5,0.021739130434782608,4.891304347826087,1022.2222222222223,,,,,500,250,16,1.05,5.0,46,1,1,4,False,False,,,1.1485714285714286,1.9684187756867833,6.9,13.582089552238806,15.6,1022.2222222222223,,,0.603808099986054
5000,5000044,2,6,0.017543859649122806,5.894736842105263,848.2142857142858,,,,,500,250,16,1.05,5.0,57,1,1,5,False,False,,,1.1485714285714286,1.9684187756867833,6.9,13.582089552238806,15.6,848.2142857142858,,,0.603808099986054
5000,5000044,3,7,0.014285714285714285,6.9,724.6376811594203,,,,,500,250,16,1.05,5.0,70,1,1,6,False,False,,,1.1485714285714286,1.9684187756867833,6.9,13.582089552238806,15.6,724.6376811594203,,,0.603808099986054
5000,5000044,4,14,0.029850746268656716,13.582089552238806,368.13186813186815,,,,,500,250,16,1.05,5.0,134,4,4,10,False,False,,,1.1485714285714286,1.9684187756867833,6.9,13.582089552238806,15.6,368.13186813186815,,,0.603808099986054
5000,5000044,5,16,0.025,15.6,320.5128205128205,,,,,500,250,16,1.05,5.0,160,4,4,12,False,False,,,1.1485714285714286,1.9684187756867833,6.9,13.582089552238806,15.6,320.5128205128205,,,0.603808099986054
