n,seed,level,IG,danger_rate,avg_freedom,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,avg_forced_per_assignment,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
1000,1000042,1,2,0.14285714285714285,1.0,1.7142857142857144,583.3333333333333,,,,,500,250,16,1.05,5.0,7,1,1,1.0,1,False,False,,,1.0,1.0,1.7142857142857144,1.7142857142857144,1.7142857142857144,583.3333333333333,,,0.3146145999780856
1000,1000042,2,2,0.14285714285714285,1.0,1.7142857142857144,583.3333333333333,,,,,500,250,16,1.05,5.0,7,1,1,1.0,1,False,False,,,1.0,1.0,1.7142857142857144,1.7142857142857144,1.7142857142857144,583.3333333333333,,,0.3146145999780856
1000,1000042,3,2,0.14285714285714285,1.0,1.7142857142857144,583.3333333333333,,,,,500,250,16,1.05,5.0,7,1,1,1.0,1,False,False,,,1.0,1.0,1.7142857142857144,1.7142857142857144,1.7142857142857144,583.3333333333333,,,0.3146145999780856
1000,1000042,4,2,0.14285714285714285,1.0,1.7142857142857144,583.3333333333333,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,7,1,1,1.0,1,True,True,4,weak_growth,1.0,1.0,1.7142857142857144,1.7142857142857144,1.7142857142857144,583.3333333333333,1000.0,0.5833333333333333,0.3146145999780856
1000,1000042,5,2,0.14285714285714285,1.0,1.7142857142857144,583.3333333333333,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,7,1,1,1.0,1,True,True,4,weak_growth,1.0,1.0,1.7142857142857144,1.7142857142857144,1.7142857142857144,583.3333333333333,1000.0,0.5833333333333333,0.3146145999780856
1000,1000043,1,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,4,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2835699000279419
1000,1000043,2,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,4,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2835699000279419
1000,1000043,3,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,4,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2835699000279419
1000,1000043,4,1,0.0,0.0,1.0,1000.0,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,4,0,0,0.0,1,True,True,4,weak_growth,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,0.2835699000279419
1000,1000043,5,1,0.0,0.0,1.0,1000.0,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,4,0,0,0.0,1,True,True,4,weak_growth,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,0.2835699000279419
1000,1000044,1,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,2,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2640413999906741
1000,1000044,2,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,2,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2640413999906741
1000,1000044,3,1,0.0,0.0,1.0,1000.0,,,,,500,250,16,1.05,5.0,2,0,0,0.0,1,False,False,,,1.0,1.0,1.0,1.0,1.0,1000.0,,,0.2640413999906741
1000,1000044,4,1,0.0,0.0,1.0,1000.0,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,2,0,0,0.0,1,True,True,4,weak_growth,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,0.2640413999906741
1000,1000044,5,1,0.0,0.0,1.0,1000.0,1,0.0,1.0,1000.0,500,250,16,1.05,5.0,2,0,0,0.0,1,True,True,4,weak_growth,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,0.2640413999906741
