n_vars,samples,non_conflict_samples,H_start,avg_H_before,avg_IG_total,avg_IG_G_only,D_pred_total,D_pred_G_only,conflicts
22,22,22,22,16.09090909090909,3.590909090909091,2.590909090909091,6.1265822784810124,8.491228070175438,0
50,23,23,50,41.17391304347826,7.826086956521739,6.826086956521739,6.388888888888888,7.32484076433121,0
100,25,25,100,92.0,7.56,6.56,13.227513227513228,15.24390243902439,0
