task,n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D
SubsetSum,1000,4,3,0.0,32.0,32.0,31.25
SubsetSum,1000,5,3,0.0,39.0,39.0,25.641025641025646
SubsetSum,5000,4,3,0.0,32.0,32.0,156.25
SubsetSum,5000,5,3,0.0,40.0,40.0,125.0
VertexCover,1000,4,3,0.21289858399172656,54.0,41.96376800862884,23.837102864892458
VertexCover,1000,5,3,0.24987080103359172,71.0,53.08811369509044,18.83991691914861
VertexCover,5000,4,3,0.21759238434440073,57.666666666666664,45.0356744530986,111.07746033515836
VertexCover,5000,5,3,0.3287037037037037,86.66666666666667,57.93981481481482,86.3280939906327
