mode,n_vars,level,samples,avg_IG,avg_danger_rate,avg_base_useful_IG,avg_loss,avg_reserve_total,avg_reserve_score,avg_overlap,avg_recovered,avg_useful_IG,avg_chosen_unit_size,D_pred,conflicts
baseline,1000,1,3,9.0,0.03653846153846154,8.682264957264957,0.3177350427350427,0.0,0.0,0.0,0.0,8.682264957264957,6.333333333333333,115.17731892796496,0
baseline,1000,2,3,23.333333333333332,0.03077891349427452,22.61278009231731,0.7205532410160232,0.0,0.0,0.0,0.0,22.61278009231731,16.0,44.22278003489496,0
baseline,1000,3,3,38.666666666666664,0.036351437547135296,37.25506797312357,1.411598693543093,0.0,0.0,0.0,0.0,37.25506797312357,24.0,26.841985652030395,0
baseline,1000,4,3,51.666666666666664,0.03519711228815596,49.80621809722476,1.8604485694419075,0.0,0.0,0.0,0.0,49.80621809722476,32.0,20.07781434133263,0
baseline,1000,5,3,61.0,0.03259228423289309,58.995512121648005,2.004487878351999,0.0,0.0,0.0,0.0,58.995512121648005,40.0,16.950441890190096,0
baseline,2000,1,3,5.333333333333333,0.05932923476783125,5.026290798220622,0.30704253511271057,0.0,0.0,0.0,0.0,5.026290798220622,3.0,397.9077375921083,0
baseline,2000,2,3,17.0,0.015915461990875613,16.740463365030507,0.25953663496949375,0.0,0.0,0.0,0.0,16.740463365030507,13.666666666666666,119.47100605218853,0
baseline,2000,3,3,32.0,0.024644005534464154,31.204230961691483,0.7957690383085138,0.0,0.0,0.0,0.0,31.204230961691483,24.0,64.09387247695165,0
baseline,2000,4,3,42.333333333333336,0.021524586663540873,41.40538243917509,0.9279508941582408,0.0,0.0,0.0,0.0,41.40538243917509,32.0,48.30289885470855,0
baseline,2000,5,3,52.333333333333336,0.02149341450684418,51.20211028410222,1.1312230492311164,0.0,0.0,0.0,0.0,51.20211028410222,40.0,39.06089004735771,0
reserve,1000,1,3,9.0,0.03548026048026048,8.690730565730567,0.30926943426943426,0.30926943426943426,0.0,0.0,0.0,8.690730565730567,6.333333333333333,115.06512512805502,0
reserve,1000,2,3,24.333333333333332,0.03647401617989853,23.421097627862334,0.9122357054709996,1.2215051397404337,0.07671957671957672,0.08333333333333333,0.002934854497354497,23.42403248235969,16.0,42.6911976301726,0
reserve,1000,3,3,40.0,0.041787840187764685,38.32443841429238,1.6755615857076158,2.8970667254480493,0.32061726399961693,0.2222222222222222,0.024036408767566856,38.34847482305995,24.0,26.076656362841153,0
reserve,1000,4,3,51.333333333333336,0.03533880722764146,49.50234407883203,1.8309892545013058,4.728055979949356,0.4986043899341877,0.25,0.01414420786420901,49.51648828669624,32.0,20.1952932164754,0
reserve,1000,5,3,62.666666666666664,0.0376214669952878,60.279779277808196,2.386887388858469,7.114943368807825,1.832108141613494,0.525,0.031217410422969587,60.31099668823117,40.0,16.58072416162102,0
reserve,2000,1,3,6.666666666666667,0.034646256163284025,6.433402132782938,0.23326453388372892,0.23326453388372892,0.0,0.0,0.0,6.433402132782938,4.333333333333333,310.8775044246841,0
reserve,2000,2,3,17.0,0.013761846921659519,16.77400576749874,0.22599423250126008,0.45925876638498897,0.03294117647058824,0.0625,0.0015441176470588236,16.775549885145796,14.333333333333334,119.22112918461976,0
reserve,2000,3,3,34.0,0.0280919128291761,33.043418256264346,0.9565817437356515,1.4158405101206404,0.09097105508870214,0.06944444444444443,0.001276746809835045,33.04469500307419,24.0,60.524087143607694,0
reserve,2000,4,3,46.666666666666664,0.032079668959218606,45.17033492530564,1.4963317413610293,2.9121722514816697,0.31764529966576,0.19791666666666666,0.007680328736265036,45.1780152540419,32.0,44.269319684668254,0
reserve,2000,5,3,55.0,0.027181646119675603,53.50100202571685,1.4989979742831452,4.411170225764816,0.3300290486564996,0.14166666666666666,0.004383198302469135,53.50538522401933,40.0,37.379415018250754,0
