n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
1000,4,2,0.0,32.0,32.0,31.25,142.0,0.0
1000,5,2,0.0,40.0,40.0,25.0,204.5,0.0
