case,seed,oracle_sat,greedy_L_status,greedy_L_success,greedy_L_steps,greedy_L_decision_steps,greedy_L_forced_steps,greedy_LG_status,greedy_LG_success,greedy_LG_steps,greedy_LG_decision_steps,greedy_LG_forced_steps,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_steps,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_steps,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_steps,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_steps,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps
0,43,True,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,3,3,2,FAILED_TO_FIND,False,30,6,0,SAT_FOUND,True,4,4,2,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,2,2,2
1,44,True,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,5,5,0,SAT_FOUND,True,6,6,0,FAILED_TO_FIND,False,4,4,0,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,4,4,0
2,45,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
3,46,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,4,4,1,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
4,47,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2
5,48,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
6,49,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
7,50,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2
8,51,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
9,52,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
