mode,total,success,fail,success_rate,avg_steps_success,avg_decision_steps,avg_forced_steps,avg_score_calls
greedy_L,30,24,6,0.8,5.666666666666667,5.666666666666667,0.0,96.3
greedy_LG,30,25,5,0.8333333333333334,4.8,4.8,0.84,78.66666666666667
lookahead_LG_2,30,28,2,0.9333333333333333,5.0,5.0,0.9642857142857143,2563.6
lookahead_LG_3,30,26,4,0.8666666666666667,5.076923076923077,5.076923076923077,0.9230769230769231,9593.766666666666
lookahead_L_2,30,27,3,0.9,5.888888888888889,5.888888888888889,0.0,3362.3333333333335
lookahead_L_3,30,25,5,0.8333333333333334,6.0,6.0,0.0,13306.8
