n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
10000,10000042,1,4,0.02127659574468085,3.9148936170212765,2554.3478260869565,,,,,500,250,16,47,1,1,3,False,False,,2554.3478260869565,,,1.4947068999754265
10000,10000042,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,False,,2032.7868852459014,,,1.4947068999754265
10000,10000042,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,False,,2032.7868852459014,,,1.4947068999754265
10000,10000042,4,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,64,1,1,5,True,True,weak_growth,1693.1216931216932,2032.7868852459014,0.8329066393582524,1.4947068999754265
10000,10000042,5,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,64,1,1,5,True,True,weak_growth,1693.1216931216932,2032.7868852459014,0.8329066393582524,1.4947068999754265
