n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,runtime_seconds
500000,500000042,1,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,132.9999448999879
500000,500000042,2,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,132.9999448999879
500000,500000042,3,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,132.9999448999879
500000,500000042,4,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,36,2,2,2,True,132.9999448999879
500000,500000042,5,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,36,2,2,2,True,132.9999448999879
