n,seed,colors,level,edge_count,avg_degree,unit_count,chosen_unit_size,IG,forced,affected_edges,dangerous_edges,danger_rate,useful_IG,D,sample_units,top_neighbors,runtime_seconds
100,100042,3,4,400,8.0,4,17,96,79,108,28,0.25925925925925924,71.11111111111111,1.40625,100,16,0.007087300007697195
100,100042,3,5,400,8.0,3,30,99,69,175,69,0.3942857142857143,59.96571428571428,1.6676195921478942,100,16,0.010803400014992803
