n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
100000,100000044,5,4,0.0,4.0,25000.0,,,,,500,250,16,55,0,0,4,False,True,weak_growth,25000.0,,,25.133513699984178
200000,200000042,1,3,0.02631578947368421,2.9210526315789473,68468.46846846848,9,0.008064516129032258,8.92741935483871,22402.89069557362,500,250,16,38,1,1,2,True,True,weak_growth,68468.46846846848,22402.89069557362,3.056233653007847,52.8234092000057
200000,200000042,2,3,0.02631578947368421,2.9210526315789473,68468.46846846848,19,0.012658227848101266,18.759493670886076,10661.268556005398,500,250,16,38,1,1,2,True,True,weak_growth,68468.46846846848,10661.268556005398,6.422169004447486,52.8234092000057
200000,200000042,3,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,True,weak_growth,68468.46846846848,,,52.8234092000057
200000,200000042,4,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,True,weak_growth,68468.46846846848,,,52.8234092000057
200000,200000042,5,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,True,weak_growth,68468.46846846848,,,52.8234092000057
200000,200000043,1,4,0.08,3.68,54347.82608695652,,,,,500,250,16,25,2,2,2,False,True,weak_growth,54347.82608695652,,,53.70938459999161
200000,200000043,2,4,0.0,4.0,50000.0,19,0.01293103448275862,18.754310344827584,10664.21512296024,500,250,16,54,0,0,4,True,True,weak_growth,50000.0,10664.21512296024,4.688577586206896,53.70938459999161
200000,200000043,3,4,0.0,4.0,50000.0,28,0.011940298507462687,27.665671641791043,7229.175658178679,500,250,16,54,0,0,4,True,True,weak_growth,50000.0,7229.175658178679,6.916417910447761,53.70938459999161
200000,200000043,4,4,0.0,4.0,50000.0,,,,,500,250,16,54,0,0,4,False,True,weak_growth,50000.0,,,53.70938459999161
200000,200000043,5,4,0.0,4.0,50000.0,,,,,500,250,16,54,0,0,4,False,True,weak_growth,50000.0,,,53.70938459999161
