n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
1000,1000042,1,8,0.06349206349206349,7.492063492063492,133.47457627118644,,,,,500,250,16,63,4,4,4,False,False,,133.47457627118644,,,0.4611968999961391
1000,1000042,2,24,0.037914691943127965,23.09004739336493,43.30870279146141,,,,,500,250,16,211,8,8,16,False,False,,43.30870279146141,,,0.4611968999961391
1000,1000042,3,38,0.04054054054054054,36.45945945945946,27.42772424017791,,,,,500,250,16,296,12,14,24,False,False,,27.42772424017791,,,0.4611968999961391
1000,1000042,4,49,0.033766233766233764,47.345454545454544,21.121351766513058,,,,,500,250,16,385,13,17,32,False,False,,21.121351766513058,,,0.4611968999961391
1000,1000042,5,66,0.0392156862745098,63.411764705882355,15.769944341372913,,,,,500,250,16,459,18,26,40,False,False,,15.769944341372913,,,0.4611968999961391
