n,min_useful_growth,topdown_bias,sample_units,candidate_cap,top_neighbors,seeds,triggered,median_baseline_D,median_after_D,median_improvement_ratio,improved_count,worsened_count,median_useful_IG,median_useful_IG_after
10000,,,500,250,16,3,3,1733.3333333333333,2032.7868852459014,0.8329066393582524,1,2,5.769230769230769,4.919354838709678
50000,,,500,250,16,3,3,12837.837837837837,1122.3799864773496,11.209132906894098,3,0,3.8947368421052633,44.54819277108434
100000,,,500,250,16,3,3,25000.0,25555.555555555555,0.996923076923077,1,2,4.0,3.9130434782608696
200000,,,500,250,16,3,3,54545.454545454544,4577.806535101909,12.154946780666549,2,1,3.6666666666666665,43.68904593639576
500000,,,500,250,16,3,3,132352.9411764706,136363.63636363638,0.9705882352941176,0,3,3.7777777777777777,3.6666666666666665
1000000,,,500,250,16,3,3,265625.0,23402.69277845777,11.351514373716633,2,1,3.764705882352941,42.73012552301255
