mode,total,success,success_rate,ci95_low,ci95_high,skipped,avg_decision_steps,avg_forced_steps,avg_score_calls
dpll_control,20,16,0.8,0.5839782779742401,0.9193436467288,0,10.7,1.3,0.0
greedy_L,20,5,0.25,0.11186005278940309,0.4687050099580636,0,18.55,0.0,410.15
greedy_LG,20,10,0.5,0.2992949144298199,0.7007050855701801,0,5.8,11.7,145.2
lookahead_LG_3,20,16,0.8,0.5839782779742401,0.9193436467288,0,6.4,11.85,28392.4
lookahead_L_3,20,6,0.3,0.14547527396899385,0.5189767762289793,0,18.75,0.0,58404.75
