formula_seed,mode,success,steps,assigned_count
77,dpll_control,False,67,0
77,greedy_L,False,0,0
77,greedy_LG,False,0,0
77,lookahead_LG_3,False,0,0
77,lookahead_L_3,False,0,0
77,random,False,0,0
78,dpll_control,True,21,30
78,greedy_L,False,29,30
78,greedy_LG,True,2,30
78,lookahead_LG_3,True,10,30
78,lookahead_L_3,False,28,30
79,dpll_control,False,41,0
79,greedy_L,False,0,0
79,greedy_LG,False,0,0
79,lookahead_LG_3,False,0,0
79,lookahead_L_3,False,0,0
79,random,False,0,0
80,dpll_control,True,13,30
80,greedy_L,False,30,30
80,greedy_LG,True,3,30
80,lookahead_LG_3,True,6,30
80,lookahead_L_3,True,26,30
81,dpll_control,True,9,30
81,greedy_L,True,22,30
81,greedy_LG,True,3,30
81,lookahead_LG_3,True,9,30
81,lookahead_L_3,True,29,30
82,dpll_control,True,21,30
82,greedy_L,False,30,30
82,greedy_LG,True,3,30
82,lookahead_LG_3,True,10,30
82,lookahead_L_3,False,28,30
83,dpll_control,True,23,30
83,greedy_L,False,30,30
83,greedy_LG,False,25,30
83,lookahead_LG_3,True,10,30
83,lookahead_L_3,False,28,30
84,dpll_control,True,11,30
84,greedy_L,False,29,30
84,greedy_LG,True,5,30
84,lookahead_LG_3,True,7,30
84,lookahead_L_3,True,29,30
85,dpll_control,True,14,30
85,greedy_L,True,24,30
85,greedy_LG,False,28,30
85,lookahead_LG_3,True,8,30
85,lookahead_L_3,True,30,30
86,dpll_control,True,8,30
86,greedy_L,False,29,30
86,greedy_LG,True,3,30
86,lookahead_LG_3,True,6,30
86,lookahead_L_3,False,27,30
87,dpll_control,True,15,30
87,greedy_L,False,30,30
87,greedy_LG,True,3,30
87,lookahead_LG_3,True,11,30
87,lookahead_L_3,False,28,30
88,dpll_control,True,35,30
88,greedy_L,True,26,30
88,greedy_LG,True,4,30
88,lookahead_LG_3,True,10,30
88,lookahead_L_3,True,29,30
89,dpll_control,True,11,30
89,greedy_L,False,30,30
89,greedy_LG,False,22,30
89,lookahead_LG_3,True,9,30
89,lookahead_L_3,False,29,30
90,dpll_control,True,16,30
90,greedy_L,True,23,30
90,greedy_LG,True,4,30
90,lookahead_LG_3,True,11,30
90,lookahead_L_3,True,29,30
91,dpll_control,True,10,30
91,greedy_L,True,21,30
91,greedy_LG,True,3,30
91,lookahead_LG_3,True,10,30
91,lookahead_L_3,True,30,30
92,dpll_control,True,77,30
92,greedy_L,False,28,30
92,greedy_LG,False,21,30
92,lookahead_LG_3,True,10,30
92,lookahead_L_3,False,26,30
93,dpll_control,True,17,30
93,greedy_L,False,30,30
93,greedy_LG,True,3,30
93,lookahead_LG_3,True,6,30
93,lookahead_L_3,False,28,30
94,dpll_control,True,14,30
94,greedy_L,False,30,30
94,greedy_LG,False,24,30
94,lookahead_LG_3,True,6,30
94,lookahead_L_3,False,28,30
95,dpll_control,True,10,30
95,greedy_L,False,30,30
95,greedy_LG,True,3,30
95,lookahead_LG_3,True,10,30
95,lookahead_L_3,True,30,30
96,dpll_control,True,10,30
96,greedy_L,True,23,30
96,greedy_LG,True,3,30
96,lookahead_LG_3,True,9,30
96,lookahead_L_3,True,30,30
97,dpll_control,True,7,30
97,greedy_L,True,24,30
97,greedy_LG,True,4,30
97,lookahead_LG_3,True,13,30
97,lookahead_L_3,True,29,30
98,dpll_control,True,11,30
98,greedy_L,True,20,30
98,greedy_LG,True,5,30
98,lookahead_LG_3,True,13,30
98,lookahead_L_3,True,30,30
99,dpll_control,False,35,0
99,greedy_L,False,0,0
99,greedy_LG,False,0,0
99,lookahead_LG_3,False,0,0
99,lookahead_L_3,False,0,0
99,random,False,0,0
100,dpll_control,False,23,0
100,greedy_L,False,0,0
100,greedy_LG,False,0,0
100,lookahead_LG_3,False,0,0
100,lookahead_L_3,False,0,0
100,random,False,0,0
101,dpll_control,True,9,30
101,greedy_L,False,30,30
101,greedy_LG,True,4,30
101,lookahead_LG_3,True,8,30
101,lookahead_L_3,True,30,30
102,dpll_control,True,7,30
102,greedy_L,False,30,30
102,greedy_LG,False,20,30
102,lookahead_LG_3,True,9,30
102,lookahead_L_3,True,30,30
103,dpll_control,False,41,0
103,greedy_L,False,0,0
103,greedy_LG,False,0,0
103,lookahead_LG_3,False,0,0
103,lookahead_L_3,False,0,0
103,random,False,0,0
104,dpll_control,True,11,30
104,greedy_L,True,27,30
104,greedy_LG,False,26,30
104,lookahead_LG_3,True,10,30
104,lookahead_L_3,True,29,30
105,dpll_control,True,12,30
105,greedy_L,False,30,30
105,greedy_LG,False,26,30
105,lookahead_LG_3,True,8,30
105,lookahead_L_3,True,28,30
106,dpll_control,True,5,30
106,greedy_L,False,30,30
106,greedy_LG,True,3,30
106,lookahead_LG_3,True,9,30
106,lookahead_L_3,False,29,30
107,dpll_control,True,18,30
107,greedy_L,False,30,30
107,greedy_LG,False,22,30
107,lookahead_LG_3,True,7,30
107,lookahead_L_3,False,28,30
108,dpll_control,True,14,30
108,greedy_L,False,29,30
108,greedy_LG,True,2,30
108,lookahead_LG_3,True,9,30
108,lookahead_L_3,True,27,30
109,dpll_control,True,13,30
109,greedy_L,False,29,30
109,greedy_LG,True,3,30
109,lookahead_LG_3,True,5,30
109,lookahead_L_3,False,27,30
110,dpll_control,True,36,30
110,greedy_L,False,30,30
110,greedy_LG,True,3,30
110,lookahead_LG_3,True,5,30
110,lookahead_L_3,False,28,30
111,dpll_control,True,18,30
111,greedy_L,False,30,30
111,greedy_LG,False,26,30
111,lookahead_LG_3,True,7,30
111,lookahead_L_3,False,28,30
