mode,total,success,fail,success_rate,avg_decision_steps,avg_forced_steps,avg_score_calls
greedy_L,30,22,8,0.7333333333333333,24.0,0.0,52.8
greedy_LG,30,19,11,0.6333333333333333,7.526315789473684,16.473684210526315,37.86666666666667
lookahead_LG_2,30,1,29,0.03333333333333333,7.0,17.0,197.13333333333333
lookahead_LG_3,30,1,29,0.03333333333333333,8.0,16.0,449.76666666666665
lookahead_L_2,30,0,30,0.0,,,243.03333333333333
lookahead_L_3,30,0,30,0.0,,,560.4666666666667
