n,seed,colors,level,edge_count,avg_degree,unit_count,chosen_unit_size,IG,forced,affected_edges,dangerous_edges,danger_rate,useful_IG,D,sample_units,top_neighbors,runtime_seconds
1000,1000042,4,4,4000,8.0,42,32,32,0,214,0,0.0,32.0,31.25,500,16,0.077603799989447
1000,1000042,4,5,4000,8.0,32,40,41,1,287,3,0.010452961672473868,40.57142857142857,24.647887323943664,500,16,0.10688999999547377
1000,1000043,4,4,4000,8.0,42,32,34,2,216,6,0.027777777777777776,33.05555555555556,30.252100840336134,500,16,0.07091140002012253
1000,1000043,4,5,4000,8.0,31,40,41,1,279,3,0.010752688172043012,40.55913978494624,24.655355249204664,500,16,0.10253450000891462
