n,seed,colors,level,edge_count,avg_degree,unit_count,chosen_unit_size,IG,forced,affected_edges,dangerous_edges,danger_rate,avg_freedom,useful_IG,D,avg_forced_per_assignment,sample_units,top_neighbors,runtime_seconds
1000,1000042,3,4,2000,4.0,60,32,36,4,108,6,0.05555555555555555,1.917808219178082,34.0,29.41176470588235,0.125,500,16,0.0760024999617599
1000,1000042,3,5,2000,4.0,50,40,46,6,113,11,0.09734513274336283,1.8450704225352113,41.52212389380531,24.083546462063087,0.15,500,16,0.09665929997572675
1000,1000043,3,4,2000,4.0,61,32,34,2,90,4,0.044444444444444446,1.9298245614035088,32.48888888888889,30.779753761969907,0.0625,500,16,0.0675273000379093
1000,1000043,3,5,2000,4.0,47,40,43,3,128,2,0.015625,1.9767441860465116,42.328125,23.624953857511997,0.075,500,16,0.08762410003691912
1000,1000044,3,4,2000,4.0,64,32,35,3,103,2,0.019417475728155338,1.9710144927536233,34.320388349514566,29.137199434229135,0.09375,500,16,0.06554819998564199
1000,1000044,3,5,2000,4.0,55,40,43,3,132,6,0.045454545454545456,1.9318181818181819,41.04545454545455,24.363233665559246,0.075,500,16,0.0851365000125952
