mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,4,4,0,0,4,0,0,0,1.0,4.5,4.5,4.5,4.5,0.75,0.0,4,5
greedy_L,4,3,1,0,3,0,0,1,0.75,4.0,5.0,5.0,5.0,0.0,52.75,1,6
greedy_LG,4,4,0,0,4,0,0,0,1.0,2.0,2.0,2.0,2.0,3.75,28.25,1,3
lookahead_LG_3,4,4,0,0,4,0,0,0,1.0,3.5,3.5,3.5,3.5,3.5,2429.5,2,5
lookahead_L_3,4,4,0,0,4,0,0,0,1.0,6.75,6.75,6.75,6.75,0.0,3842.75,4,8
