seed,n_vars,n_clauses,level,baseline_useful_IG,reserve_useful_IG,delta_useful_IG,baseline_D_pred,reserve_D_pred,delta_D_pred,baseline_recovered,reserve_recovered,delta_recovered,baseline_reserve_total,reserve_reserve_total,delta_reserve_total
1000042,1000,4270,1,7.466666666666667,7.466666666666667,0.0,133.92857142857142,133.92857142857142,0.0,0.0,0.0,0.0,0,0.5333333333333333,0.5333333333333333
1000042,1000,4270,2,23.09004739336493,23.04,-0.050047393364931025,43.30870279146141,43.40277777777778,0.09407498631637168,0.0,0.0,0.0,0,1.4933333333333332,1.4933333333333332
1000042,1000,4270,3,35.65676567656766,33.89119229264476,-1.7655733839228986,28.04516845612736,29.50619120641044,1.4610227502830782,0.0,0.0003472222222222222,0.0003472222222222222,0,2.602488262910798,2.602488262910798
1000042,1000,4270,4,47.345454545454544,48.763415643478105,1.4179610980235609,21.121351766513058,20.507177087660505,-0.6141746788525531,0.0,0.0037257209974890623,0.0037257209974890623,0,4.8427983404301775,4.8427983404301775
1000042,1000,4270,5,63.411764705882355,63.15393365751484,-0.2578310483675139,15.769944341372913,15.83432641619795,0.064382074825037,0.0,0.029452329714013605,0.029452329714013605,0,7.718317012629348,7.718317012629348
2000042,2000,8540,1,6.631578947368421,6.631578947368421,0.0,301.58730158730157,301.58730158730157,0.0,0.0,0.0,0.0,0,0.3684210526315789,0.3684210526315789
2000042,2000,8540,2,12.721428571428572,12.721428571428572,0.0,157.21504772599664,157.21504772599664,0.0,0.0,0.0,0.0,0,0.6469924812030075,0.6469924812030075
2000042,2000,8540,3,29.40199335548173,29.40199335548173,0.0,68.0225988700565,68.0225988700565,0.0,0.0,0.0,0.0,0,1.2449991257212798,1.2449991257212798
2000042,2000,8540,4,43.002267573696145,43.815857484286894,0.8135899105907498,46.509175279476906,45.64557479486128,-0.863600484615624,0.0,6.801060267857143e-05,6.801060267857143e-05,0,2.4292096520370694,2.4292096520370694
2000042,2000,8540,5,53.64839319470699,55.46568688820395,1.817293693496957,37.279774489076814,36.058329251942354,-1.2214452371344606,0.0,0.009207197681704261,0.009207197681704261,0,3.9727299615148257,3.9727299615148257
