mode,total,success,fail,success_rate,avg_decision_steps,avg_forced_steps,avg_score_calls
greedy_L,60,37,23,0.6166666666666667,17.35,0.0,445.31666666666666
greedy_LG,60,53,7,0.8833333333333333,6.516666666666667,11.133333333333333,202.13333333333333
lookahead_LG_2,60,54,6,0.9,7.116666666666666,10.516666666666667,7685.983333333334
lookahead_LG_3,60,54,6,0.9,8.083333333333334,9.483333333333333,35492.95
lookahead_L_2,60,36,24,0.6,17.1,0.0,15163.366666666667
lookahead_L_3,60,44,16,0.7333333333333333,17.133333333333333,0.0,67324.28333333334
