n_vars,samples,avg_cluster_count,avg_non_singleton_clusters,avg_max_cluster_size_seen,avg_avg_cluster_size,avg_IG_var_G1,avg_IG_cluster_G1,avg_IG_var_G2,avg_IG_cluster_G2,avg_forced_G1,avg_forced_G2,avg_chosen_cluster_size,D_pred_var_G1,D_pred_var_G2,conflicts_G1,conflicts_G2
50,3,11.666666666666666,6.333333333333333,8.0,4.312354312354313,1.0,0.0,16.666666666666668,1.6666666666666667,0.0,8.666666666666666,8.0,50.0,3.0,0,0
100,3,31.333333333333332,14.0,8.0,3.2011929641239987,1.0,0.0,11.666666666666666,2.0,0.0,3.6666666666666665,8.0,100.0,8.571428571428571,0,0
200,3,96.33333333333333,30.666666666666668,8.0,2.085738691297532,1.0,0.0,14.666666666666666,2.6666666666666665,0.0,6.666666666666667,8.0,200.0,13.636363636363637,0,0
