case,seed,planted_path,greedy_L_status,greedy_L_success,greedy_L_decision_steps,greedy_L_forced_steps,greedy_L_score_calls,greedy_LG_status,greedy_LG_success,greedy_LG_decision_steps,greedy_LG_forced_steps,greedy_LG_score_calls,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_L_2_score_calls,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_LG_2_score_calls,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_L_3_score_calls,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps,lookahead_LG_3_score_calls
19,62,12 10 9 6 11 0 14 8 2 15 4 7 3 13 1 5,SAT_FOUND,True,16,0,49,SAT_FOUND,True,16,1,49,FAILED_TO_FIND,False,14,0,343,FAILED_TO_FIND,False,12,1,328,FAILED_TO_FIND,False,12,0,1117,SAT_FOUND,True,16,6,1112
20,63,3 12 8 2 11 5 0 9 6 1 10 15 13 4 7 14,SAT_FOUND,True,16,0,45,SAT_FOUND,True,16,5,45,FAILED_TO_FIND,False,12,0,288,FAILED_TO_FIND,False,12,4,277,FAILED_TO_FIND,False,14,0,872,SAT_FOUND,True,16,6,887
21,64,2 13 12 7 14 11 5 4 3 0 8 6 9 10 1 15,SAT_FOUND,True,16,0,53,SAT_FOUND,True,16,1,53,FAILED_TO_FIND,False,11,0,372,FAILED_TO_FIND,False,11,2,366,FAILED_TO_FIND,False,14,0,1311,FAILED_TO_FIND,False,13,2,1307
22,65,5 6 0 1 11 2 15 9 12 10 7 3 8 14 4 13,SAT_FOUND,True,16,0,47,SAT_FOUND,True,16,3,47,FAILED_TO_FIND,False,12,0,304,FAILED_TO_FIND,False,13,2,320,FAILED_TO_FIND,False,12,0,968,FAILED_TO_FIND,False,12,3,939
23,66,9 0 15 13 11 12 5 1 8 10 14 7 3 6 4 2,SAT_FOUND,True,16,0,48,SAT_FOUND,True,16,3,48,FAILED_TO_FIND,False,11,0,300,FAILED_TO_FIND,False,9,0,296,FAILED_TO_FIND,False,12,0,979,FAILED_TO_FIND,False,11,1,970
24,67,8 3 5 0 14 15 9 11 10 4 13 7 6 12 1 2,SAT_FOUND,True,16,0,50,SAT_FOUND,True,16,3,50,FAILED_TO_FIND,False,12,0,353,FAILED_TO_FIND,False,12,1,355,FAILED_TO_FIND,False,13,0,1182,SAT_FOUND,True,16,6,1164
25,68,0 13 4 7 5 2 12 6 3 10 9 1 8 15 11 14,SAT_FOUND,True,16,0,51,SAT_FOUND,True,16,2,51,FAILED_TO_FIND,False,12,0,356,FAILED_TO_FIND,False,13,3,360,FAILED_TO_FIND,False,14,0,1162,SAT_FOUND,True,16,7,1162
26,69,0 11 13 8 4 7 3 6 10 5 9 14 2 12 15 1,SAT_FOUND,True,16,0,47,SAT_FOUND,True,16,5,47,FAILED_TO_FIND,False,12,0,311,FAILED_TO_FIND,False,12,1,305,FAILED_TO_FIND,False,12,0,965,FAILED_TO_FIND,False,12,2,954
27,70,0 15 13 8 14 9 6 10 1 5 2 12 7 11 4 3,SAT_FOUND,True,16,0,53,SAT_FOUND,True,16,1,53,FAILED_TO_FIND,False,12,0,385,FAILED_TO_FIND,False,14,3,394,SAT_FOUND,True,16,0,1407,SAT_FOUND,True,16,4,1393
28,71,5 14 13 6 7 1 11 15 3 2 4 0 12 9 8 10,SAT_FOUND,True,16,0,48,SAT_FOUND,True,16,6,48,FAILED_TO_FIND,False,12,0,327,FAILED_TO_FIND,False,11,3,315,FAILED_TO_FIND,False,10,0,1123,FAILED_TO_FIND,False,9,0,1052
29,72,0 3 14 1 7 6 13 4 10 8 5 15 11 9 12 2,SAT_FOUND,True,16,0,47,SAT_FOUND,True,16,2,47,FAILED_TO_FIND,False,12,0,301,FAILED_TO_FIND,False,9,1,282,FAILED_TO_FIND,False,14,0,984,FAILED_TO_FIND,False,11,1,947
