seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,base_useful_IG,loss,reserve_size,reserve_total,reserve_score,overlap,recovered,useful_IG,D_pred,conflict
5000042,baseline,5000,21350,1,4847,3,5,2,2,47,0.0425531914893617,4.787234042553192,0.2127659574468085,0,0,0.0,0.0,0.0,4.787234042553192,1044.4444444444443,False
5000042,baseline,5000,21350,2,4823,3,5,2,2,47,0.0425531914893617,4.787234042553192,0.2127659574468085,0,0,0.0,0.0,0.0,4.787234042553192,1044.4444444444443,False
5000042,baseline,5000,21350,3,4805,6,7,1,1,78,0.01282051282051282,6.910256410256411,0.08974358974358974,0,0,0.0,0.0,0.0,6.910256410256411,723.5621521335806,False
5000042,baseline,5000,21350,4,4784,16,18,2,2,183,0.01092896174863388,17.80327868852459,0.19672131147540983,0,0,0.0,0.0,0.0,17.80327868852459,280.84714548802947,False
5000042,baseline,5000,21350,5,4769,3,3,0,0,36,0.0,3.0,0.0,0,0,0.0,0.0,0.0,3.0,1666.6666666666667,False
5000042,reserve,5000,21350,1,4847,4,5,1,1,46,0.021739130434782608,4.891304347826087,0.10869565217391304,3,0.10869565217391305,0.0,0.0,0.0,4.891304347826087,1022.2222222222223,False
5000042,reserve,5000,21350,2,4823,6,7,1,1,89,0.011235955056179775,6.921348314606742,0.07865168539325842,6,0.18734733756717148,0.0,0.0,0.0,6.921348314606742,722.4025974025974,False
5000042,reserve,5000,21350,3,4805,12,13,1,1,142,0.007042253521126761,12.908450704225352,0.09154929577464789,9,0.27889663334181936,0.0,0.0,0.0,12.908450704225352,387.34315330060014,False
5000042,reserve,5000,21350,4,4784,16,18,2,2,183,0.01092896174863388,17.80327868852459,0.19672131147540983,12,0.4756179448172292,0.06103286384976526,0.125,0.0004768192488262911,17.803755507773417,280.839623854468,False
5000042,reserve,5000,21350,5,4767,21,24,3,3,281,0.010676156583629894,23.743772241992882,0.25622775800711745,21,0.7318457028243467,0.0,0.0,0.0,23.743772241992882,210.58153477218227,False
10000042,baseline,10000,42700,1,9826,2,3,1,1,28,0.03571428571428571,2.892857142857143,0.10714285714285714,0,0,0.0,0.0,0.0,2.892857142857143,3456.7901234567903,False
10000042,baseline,10000,42700,2,9811,2,3,1,1,28,0.03571428571428571,2.892857142857143,0.10714285714285714,0,0,0.0,0.0,0.0,2.892857142857143,3456.7901234567903,False
10000042,baseline,10000,42700,3,9809,3,5,2,2,37,0.05405405405405406,4.72972972972973,0.2702702702702703,0,0,0.0,0.0,0.0,4.72972972972973,2114.285714285714,False
10000042,baseline,10000,42700,4,9808,4,5,1,1,62,0.016129032258064516,4.919354838709678,0.08064516129032258,0,0,0.0,0.0,0.0,4.919354838709678,2032.7868852459014,False
10000042,baseline,10000,42700,5,9808,2,3,1,1,32,0.03125,2.90625,0.09375,0,0,0.0,0.0,0.0,2.90625,3440.8602150537636,False
10000042,reserve,10000,42700,1,9826,3,4,1,1,47,0.02127659574468085,3.9148936170212765,0.0851063829787234,3,0.0851063829787234,0.0,0.0,0.0,3.9148936170212765,2554.3478260869565,False
10000042,reserve,10000,42700,2,9811,4,5,1,1,62,0.016129032258064516,4.919354838709678,0.08064516129032258,6,0.16575154426904598,0.0,0.0,0.0,4.919354838709678,2032.7868852459014,False
10000042,reserve,10000,42700,3,9809,4,5,1,1,62,0.016129032258064516,4.919354838709678,0.08064516129032258,6,0.24639670555936857,0.053763440860215055,0.5,0.003360215053763441,4.922715053763441,2031.3993174061434,False
10000042,reserve,10000,42700,4,9808,5,6,1,1,64,0.015625,5.90625,0.09375,9,0.34014670555936855,0.0,0.0,0.0,5.90625,1693.1216931216932,False
10000042,reserve,10000,42700,5,9808,5,6,1,1,64,0.015625,5.90625,0.09375,9,0.43389670555936855,0.0625,0.4,0.00078125,5.90703125,1692.8977648459197,False
