n,level,samples,avg_danger_rate,avg_freedom,avg_forced_per_assignment,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
100,4,1,0.29213483146067415,1.4222222222222223,0.8709677419354839,58.0,41.056179775280896,2.435686918445539,89.0,26.0
100,5,1,0.21568627450980393,1.5416666666666667,0.875,75.0,58.8235294117647,1.7000000000000002,102.0,22.0
