n,seed,level,IG,danger_rate,avg_freedom,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,avg_forced_per_assignment,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
1000,1000042,1,8,0.06349206349206349,1.826086956521739,7.492063492063492,133.47457627118644,,,,,500,250,16,1.05,5.0,63,4,4,1.0,4,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,133.47457627118644,,,0.3462998999748379
1000,1000042,2,24,0.037914691943127965,1.8888888888888888,23.09004739336493,43.30870279146141,,,,,500,250,16,1.05,5.0,211,8,8,0.5,16,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,43.30870279146141,,,0.3462998999748379
1000,1000042,3,38,0.04054054054054054,1.8823529411764706,36.45945945945946,27.42772424017791,,,,,500,250,16,1.05,5.0,296,12,14,0.5833333333333334,24,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,27.42772424017791,,,0.3462998999748379
1000,1000042,4,49,0.033766233766233764,1.8984375,47.345454545454544,21.121351766513058,,,,,500,250,16,1.05,5.0,385,13,17,0.53125,32,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,21.121351766513058,,,0.3462998999748379
1000,1000042,5,66,0.0392156862745098,1.880794701986755,63.411764705882355,15.769944341372913,,,,,500,250,16,1.05,5.0,459,18,26,0.65,40,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,15.769944341372913,,,0.3462998999748379
1000,1000043,1,10,0.03333333333333333,1.9210526315789473,9.666666666666666,103.44827586206897,,,,,500,250,16,1.05,5.0,90,3,3,0.42857142857142855,7,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,103.44827586206897,,,0.32351369998650625
1000,1000043,2,23,0.02727272727272727,1.930232558139535,22.372727272727275,44.69727752945956,,,,,500,250,16,1.05,5.0,220,6,7,0.4375,16,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,44.69727752945956,,,0.32351369998650625
1000,1000043,3,41,0.04234527687296417,1.8869565217391304,39.26384364820847,25.46872407499585,,,,,500,250,16,1.05,5.0,307,13,17,0.7083333333333334,24,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,25.46872407499585,,,0.32351369998650625
1000,1000043,4,59,0.04591836734693878,1.875,56.29081632653061,17.764887156711684,,,,,500,250,16,1.05,5.0,392,18,27,0.84375,32,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,17.764887156711684,,,0.32351369998650625
1000,1000043,5,75,0.0507399577167019,1.8596491228070176,71.19450317124736,14.0460282108389,,,,,500,250,16,1.05,5.0,473,24,35,0.875,40,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,14.0460282108389,,,0.32351369998650625
1000,1000044,1,9,0.009615384615384616,1.975,8.913461538461538,112.1898597626753,,,,,500,250,16,1.05,5.0,104,1,1,0.125,8,False,False,,,1.268777312659728,1.2425807346623856,36.8445945945946,45.78238341968912,58.08764940239044,112.1898597626753,,,0.26158030005171895
1000,1000044,2,23,0.027149321266968326,1.9240506329113924,22.375565610859727,44.69160768452983,,,,,500,250,16,1.05,5.0,221,6,7,0.4375,16,False,False,,,1.268777312659728,1.2425807346623856,36.8445945945946,45.78238341968912,58.08764940239044,44.69160768452983,,,0.26158030005171895
1000,1000044,3,38,0.030405405405405407,1.9042553191489362,36.8445945945946,27.141023289932146,,,,,500,250,16,1.05,5.0,296,9,14,0.5833333333333334,24,False,False,,,1.268777312659728,1.2425807346623856,36.8445945945946,45.78238341968912,58.08764940239044,27.141023289932146,,,0.26158030005171895
1000,1000044,4,47,0.025906735751295335,1.9193548387096775,45.78238341968912,21.842462652784064,,,,,500,250,16,1.05,5.0,386,10,15,0.46875,32,False,False,,,1.268777312659728,1.2425807346623856,36.8445945945946,45.78238341968912,58.08764940239044,21.842462652784064,,,0.26158030005171895
1000,1000044,5,60,0.03187250996015936,1.9047619047619047,58.08764940239044,17.215363511659806,,,,,500,250,16,1.05,5.0,502,16,20,0.5,40,False,False,,,1.268777312659728,1.2425807346623856,36.8445945945946,45.78238341968912,58.08764940239044,17.215363511659806,,,0.26158030005171895
