mode,n_vars,level,samples,avg_target_IG,avg_chosen_unit_size,avg_IG,avg_forced,avg_danger_rate,avg_stability,avg_useful_IG,D_pred,adaptive_triggered_count,conflicts
adaptive,1000,1,3,0.0,6.333333333333333,9.0,2.6666666666666665,0.03548026048026048,0.9645197395197395,8.690730565730567,115.06512512805502,0,0
adaptive,1000,2,3,9.0,16.0,23.333333333333332,7.333333333333333,0.03077891349427452,0.9692210865057255,22.61278009231731,44.22278003489496,0,0
adaptive,1000,3,3,16.166666666666668,24.0,39.0,15.0,0.037763740939636706,0.9622362590603633,37.52263256742084,26.650582104099314,0,0
adaptive,1000,4,3,23.777777777777775,32.0,51.666666666666664,19.666666666666668,0.03590732809691421,0.9640926719030857,49.77283795421312,20.09127952317923,0,0
adaptive,1000,5,3,30.75,40.0,67.0,27.0,0.04060938465045702,0.959390615349543,64.23130575984005,15.568732227536925,0,0
adaptive,2000,1,3,0.0,4.0,5.0,1.0,0.01725146198830409,0.9827485380116959,4.902046783625731,407.99284223083805,0,0
adaptive,2000,2,3,5.0,14.0,17.0,3.0,0.016196328567721085,0.983803671432279,16.730185097869633,119.54440362137257,0,0
adaptive,2000,3,3,11.0,24.0,29.666666666666668,5.666666666666667,0.01717123579887377,0.9828287642011263,29.12481239343386,68.66997022960727,0,0
adaptive,2000,4,3,17.222222222222225,22.333333333333332,30.333333333333332,8.0,0.016567587996159424,0.9834324120038406,29.604359461502316,67.55761774210355,1,0
adaptive,2000,5,3,20.5,27.333333333333332,35.333333333333336,8.0,0.016057471264367816,0.9839425287356321,34.49022988505747,57.987436055521314,1,0
baseline,1000,1,3,0.0,5.666666666666667,8.0,2.3333333333333335,0.03491784166971719,0.9650821583302829,7.728761369633834,129.38683861155064,0,0
baseline,1000,2,3,8.0,16.0,23.0,7.0,0.03134452435400303,0.968655475645997,22.276053093825606,44.891255905525576,0,0
baseline,1000,3,3,15.5,24.0,39.0,15.0,0.037763740939636706,0.9622362590603633,37.52263256742084,26.650582104099314,0,0
baseline,1000,4,3,23.333333333333332,32.0,51.666666666666664,19.666666666666668,0.03519711228815596,0.9648028877118441,49.80621809722476,20.07781434133263,0,0
baseline,1000,5,3,30.416666666666668,40.0,67.0,27.0,0.04060938465045702,0.959390615349543,64.23130575984005,15.568732227536925,0,0
baseline,2000,1,3,0.0,4.333333333333333,6.666666666666667,2.3333333333333335,0.034646256163284025,0.965353743836716,6.433402132782938,310.8775044246841,0,0
baseline,2000,2,3,6.666666666666667,14.0,17.0,3.0,0.016196328567721085,0.983803671432279,16.730185097869633,119.54440362137257,0,0
baseline,2000,3,3,11.833333333333334,24.0,30.333333333333332,6.333333333333333,0.016680194616437317,0.9833198053835627,29.823034610221033,67.06225661269744,0,0
baseline,2000,4,3,18.0,22.666666666666668,32.333333333333336,9.666666666666666,0.02688253634273115,0.9731174636572688,31.32535284645259,63.84604859212266,0,0
baseline,2000,5,3,21.583333333333332,40.0,57.666666666666664,17.666666666666668,0.03069481219831624,0.9693051878016837,55.87575456319837,35.793700069641055,0,0
