n_vars,samples,avg_cluster_count,avg_non_singleton_clusters,avg_max_cluster_size_seen,avg_avg_cluster_size,avg_IG_var_G1,avg_IG_cluster_G1,avg_IG_var_G2,avg_IG_cluster_G2,avg_forced_G1,avg_forced_G2,avg_chosen_cluster_size,D_pred_var_G1,D_pred_var_G2,conflicts_G1,conflicts_G2
500,2,341.0,77.0,8.0,1.4684098112167563,1.0,0.0,10.5,2.5,0.0,2.5,8.0,500.0,47.61904761904762,0,0
1000,2,827.5,114.0,7.0,1.208830378090004,1.0,0.5,9.0,2.5,0.0,3.5,5.5,1000.0,111.11111111111111,0,0
