task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Set Cover,15,58,weighted_G_0.1_depth2,0.1,True,True,5,0,5808
Set Cover,15,58,weighted_G_0.2_depth2,0.2,True,True,5,0,5808
Set Cover,15,58,weighted_G_0.4_depth2,0.4,True,True,5,0,5808
Set Cover,15,58,LG_depth2,1.0,True,True,6,0,11054
Set Cover,16,59,L_depth2,0.0,True,True,6,0,9704
Set Cover,16,59,weighted_G_0.1_depth2,0.1,True,True,6,0,9888
Set Cover,16,59,weighted_G_0.2_depth2,0.2,True,True,6,0,9888
Set Cover,16,59,weighted_G_0.4_depth2,0.4,True,True,6,0,9888
Set Cover,16,59,LG_depth2,1.0,True,True,6,0,7178
Set Cover,17,60,L_depth2,0.0,True,True,6,0,6368
Set Cover,17,60,weighted_G_0.1_depth2,0.1,True,True,6,0,6082
Set Cover,17,60,weighted_G_0.2_depth2,0.2,True,True,6,0,6082
Set Cover,17,60,weighted_G_0.4_depth2,0.4,True,True,6,0,6082
Set Cover,17,60,LG_depth2,1.0,True,True,6,0,6082
Set Cover,18,61,L_depth2,0.0,True,True,6,0,8124
Set Cover,18,61,weighted_G_0.1_depth2,0.1,True,True,6,0,8124
Set Cover,18,61,weighted_G_0.2_depth2,0.2,True,True,6,0,8124
Set Cover,18,61,weighted_G_0.4_depth2,0.4,True,True,6,0,8124
Set Cover,18,61,LG_depth2,1.0,True,True,6,0,7736
Set Cover,19,62,L_depth2,0.0,True,True,6,0,6612
Set Cover,19,62,weighted_G_0.1_depth2,0.1,True,True,6,0,7248
Set Cover,19,62,weighted_G_0.2_depth2,0.2,True,True,6,0,7248
Set Cover,19,62,weighted_G_0.4_depth2,0.4,True,True,6,0,7248
Set Cover,19,62,LG_depth2,1.0,True,True,6,0,7306
Set Cover,20,63,L_depth2,0.0,True,True,6,0,6092
Set Cover,20,63,weighted_G_0.1_depth2,0.1,True,True,6,0,6024
Set Cover,20,63,weighted_G_0.2_depth2,0.2,True,True,6,0,6024
Set Cover,20,63,weighted_G_0.4_depth2,0.4,True,True,6,0,6024
Set Cover,20,63,LG_depth2,1.0,True,True,6,0,5210
Set Cover,21,64,L_depth2,0.0,True,True,6,0,6222
Set Cover,21,64,weighted_G_0.1_depth2,0.1,True,True,6,0,4864
Set Cover,21,64,weighted_G_0.2_depth2,0.2,True,True,6,0,4864
Set Cover,21,64,weighted_G_0.4_depth2,0.4,True,True,6,0,4864
Set Cover,21,64,LG_depth2,1.0,True,True,6,0,4604
Set Cover,22,65,L_depth2,0.0,True,True,6,0,5230
Set Cover,22,65,weighted_G_0.1_depth2,0.1,True,True,6,0,6264
Set Cover,22,65,weighted_G_0.2_depth2,0.2,True,True,6,0,6264
Set Cover,22,65,weighted_G_0.4_depth2,0.4,True,True,6,0,6264
Set Cover,22,65,LG_depth2,1.0,True,True,6,0,6988
Set Cover,23,66,L_depth2,0.0,False,False,6,0,10960
Set Cover,23,66,weighted_G_0.1_depth2,0.1,False,False,6,0,11274
Set Cover,23,66,weighted_G_0.2_depth2,0.2,False,False,6,0,11274
Set Cover,23,66,weighted_G_0.4_depth2,0.4,False,False,6,0,11274
