n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,runtime_seconds
100000,100000042,1,4,0.0625,3.75,26666.666666666668,,,,,500,250,16,32,2,2,2,False,23.50989559997106
100000,100000042,2,4,0.021739130434782608,3.9130434782608696,25555.555555555555,,,,,500,250,16,46,1,1,3,False,23.50989559997106
100000,100000042,3,4,0.0,4.0,25000.0,,,,,500,250,16,42,0,0,4,False,23.50989559997106
100000,100000042,4,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,42,0,0,4,True,23.50989559997106
100000,100000042,5,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,42,0,0,4,True,23.50989559997106
200000,200000042,1,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,54.8075943000149
200000,200000042,2,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,54.8075943000149
200000,200000042,3,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,38,1,1,2,False,54.8075943000149
200000,200000042,4,3,0.02631578947368421,2.9210526315789473,68468.46846846848,35,0.0066518847006651885,34.76718403547672,5752.551020408164,500,250,16,38,1,1,2,True,54.8075943000149
200000,200000042,5,3,0.02631578947368421,2.9210526315789473,68468.46846846848,44,0.007067137809187279,43.68904593639576,4577.806535101909,500,250,16,38,1,1,2,True,54.8075943000149
