task,n,seed,level,edge_or_state_count,chosen_unit_size,affected,dangerous,danger_rate,avg_freedom,IG,forced,avg_forced_per_assignment,useful_IG,D,runtime_seconds
VertexCover,100,100042,4,200,23,77,10,0.12987012987012986,1.0,31,8,0.34782608695652173,26.974025974025974,3.7072701011073663,0.01786960003664717
VertexCover,100,100042,5,200,39,115,16,0.1391304347826087,1.0,49,10,0.2564102564102564,42.18260869565218,2.3706452277880845,0.01787250000052154
SubsetSum,100,100042,4,1464,32,100,0,0.0,2.0,32,0,0.0,32.0,3.125,0.01787420001346618
SubsetSum,100,100042,5,1464,36,100,0,0.0,2.0,36,0,0.0,36.0,2.7777777777777777,0.01787540002260357
