n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
1000,4,2,0.013888888888888888,33.0,32.52777777777778,30.751050420168067,215.0,3.0
1000,5,2,0.01060282492225844,41.0,40.565284178187405,24.651621286574162,283.0,3.0
