n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,runtime_seconds
10000,10000042,1,4,0.02127659574468085,3.9148936170212765,2554.3478260869565,,,,,500,250,16,47,1,1,3,False,1.8602108000195585
10000,10000042,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,1.8602108000195585
10000,10000042,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,1.8602108000195585
10000,10000042,4,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,64,1,1,5,True,1.8602108000195585
10000,10000042,5,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,64,1,1,5,True,1.8602108000195585
50000,50000042,1,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,11.003212999959942
50000,50000042,2,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,11.003212999959942
50000,50000042,3,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,11.003212999959942
50000,50000042,4,4,0.02702702702702703,3.891891891891892,12847.22222222222,33,0.0028089887640449437,32.907303370786515,1519.4195475885617,500,250,16,37,1,1,3,True,11.003212999959942
50000,50000042,5,4,0.02702702702702703,3.891891891891892,12847.22222222222,44,0.008528784648187633,43.624733475479744,1146.13880742913,500,250,16,37,1,1,3,True,11.003212999959942
