mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,20,16,4,0,16,4,0,0,0.8,8.0,10.7,10.7,10.7,1.3,0.0,4,19
greedy_L,20,5,15,0,5,0,0,15,0.25,14.8,18.55,18.55,18.55,0.0,410.15,11,17
greedy_LG,20,10,10,0,10,0,0,10,0.5,2.9,9.45,9.45,5.8,11.7,145.2,2,4
lookahead_LG_3,20,16,4,0,16,0,0,4,0.8,5.8125,7.6,7.6,6.4,11.85,28392.4,3,10
lookahead_L_3,20,6,14,0,6,0,0,14,0.3,19.666666666666668,18.75,18.75,18.75,0.0,58404.75,19,20
