n,seed,level,IG,danger_rate,avg_freedom,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,avg_forced_per_assignment,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
100,100042,1,12,0.0392156862745098,1.9,11.529411764705882,8.673469387755102,,,,,100,100,16,1.05,5.0,102,4,4,0.5,8,False,False,,,0.0,1.0,29.898477157360407,29.898477157360407,0.0,8.673469387755102,,,0.024874299997463822
100,100042,2,27,0.03932584269662921,1.8852459016393444,25.93820224719101,3.855317305609703,,,,,100,100,16,1.05,5.0,178,7,11,0.6875,16,False,False,,,0.0,1.0,29.898477157360407,29.898477157360407,0.0,3.855317305609703,,,0.024874299997463822
100,100042,3,31,0.03553299492385787,1.8888888888888888,29.898477157360407,3.3446519524617995,,,,,100,100,16,1.05,5.0,197,7,11,0.55,20,False,False,,,0.0,1.0,29.898477157360407,29.898477157360407,0.0,3.3446519524617995,,,0.024874299997463822
100,100042,4,31,0.03553299492385787,1.8888888888888888,29.898477157360407,3.3446519524617995,31,0.03553299492385787,29.898477157360407,3.3446519524617995,100,100,16,1.05,5.0,197,7,11,0.55,20,True,True,4,drop,0.0,1.0,29.898477157360407,29.898477157360407,0.0,3.3446519524617995,3.3446519524617995,1.0,0.024874299997463822
100,100042,5,42,0.06050955414012739,1.705128205128205,0.0,,42,0.06050955414012739,0.0,,100,100,16,1.05,5.0,314,19,2,0.05,40,True,True,4,drop,0.0,1.0,29.898477157360407,29.898477157360407,0.0,,,,0.024874299997463822
