task,n,seed,level,edge_or_state_count,chosen_unit_size,affected,dangerous,danger_rate,IG,forced,useful_IG,D,runtime_seconds
VertexCover,100,100042,4,200,23,77,10,0.12987012987012986,31,8,26.974025974025974,3.7072701011073663,0.022860300028696656
VertexCover,100,100042,5,200,39,115,16,0.1391304347826087,49,10,42.18260869565218,2.3706452277880845,0.022863799997139722
SubsetSum,100,100042,4,1464,32,100,0,0.0,32,0,32.0,3.125,0.022865200007800013
SubsetSum,100,100042,5,1464,36,100,0,0.0,36,0,36.0,2.7777777777777777,0.022866000013891608
