mode,total,success,fail,success_rate,avg_decision_steps,avg_forced_steps,avg_score_calls
greedy_L,30,30,0,1.0,16.0,0.0,49.13333333333333
greedy_LG,30,30,0,1.0,16.0,2.9,49.13333333333333
lookahead_LG_2,30,0,30,0.0,,,319.96666666666664
lookahead_LG_3,30,10,20,0.3333333333333333,16.0,6.2,1077.5333333333333
lookahead_L_2,30,0,30,0.0,,,333.23333333333335
lookahead_L_3,30,2,28,0.06666666666666667,16.0,0.0,1100.5
