n,level,samples,avg_danger_rate,avg_freedom,avg_forced_per_assignment,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
1000,4,3,0.039805825242718446,1.9395490911117381,0.09375,35.0,33.60309241280115,29.7762393006938,100.33333333333333,4.0
1000,5,3,0.05280822606596943,1.9178775967999684,0.09999999999999999,44.0,41.63190114641995,24.02391132837811,124.33333333333333,6.333333333333333
