n_vars,level,samples,avg_unit_count,avg_chosen_unit_size,avg_affected_clauses,avg_pre_danger,avg_danger_rate,avg_stability,avg_IG,avg_useful_IG,avg_forced,D_pred,conflicts
100,1,5,31.6,8.0,84.4,3.8,0.04586966080320888,0.9541303391967911,13.4,12.761346062029745,5.4,7.836163952762095,0
100,2,5,19.8,16.0,159.8,4.6,0.028761029877873233,0.9712389701221268,23.6,22.874694708267484,7.6,4.371643043780493,0
100,3,5,5.2,18.4,168.8,5.8,0.0344708631705196,0.9655291368294805,40.2,17.397886820039297,21.8,5.747824493536631,2
200,1,5,93.2,8.0,106.6,3.8,0.035836587196837896,0.9641634128031621,14.2,13.690155988314313,6.2,14.609037338268216,0
200,2,5,61.2,16.0,181.8,8.2,0.04500840318451817,0.9549915968154818,29.8,28.44116048525954,13.8,7.03206186342698,0
200,3,5,14.2,22.8,233.0,9.0,0.038950843077797136,0.9610491569222027,42.4,40.73244426965256,19.6,4.910090803193185,0
500,1,5,343.8,8.0,106.0,3.4,0.03248358774674564,0.9675164122532542,11.6,11.200760477076267,3.6,44.63982611031737,0
500,2,5,268.4,15.4,201.2,7.8,0.039175248019911374,0.9608247519800885,25.8,24.796330324916745,10.4,20.16427404572732,0
500,3,5,217.2,24.0,287.2,11.8,0.041177096967606304,0.9588229030323937,42.0,40.2649089026009,18.0,12.417760616557675,0
