n_vars,samples,avg_cluster_count,avg_max_cluster_size_seen,avg_avg_cluster_size,avg_chosen_cluster_size,avg_IG,avg_forced,avg_R_choice_fraction,avg_R_propagated_fraction,avg_useful_IG_choice,avg_useful_IG_propagated,R_choice_success_rate,R_propagated_success_rate,D_pred_IG,D_pred_useful_choice,D_pred_useful_propagated,conflicts
100,3,35.333333333333336,8.0,5.667348020289197,8.0,23.666666666666668,15.666666666666666,0.5833333333333334,0.6148301510620352,13.916666666666666,14.666666666666666,0.0,0.0,4.225352112676056,7.185628742514971,6.818181818181818,0
200,3,67.66666666666667,8.0,5.920462387853692,8.0,15.0,7.0,0.5,0.41156359979889395,7.666666666666667,6.333333333333333,0.0,0.0,13.333333333333334,26.08695652173913,31.578947368421055,0
500,3,172.33333333333334,8.0,5.805656190231866,8.0,11.333333333333334,3.3333333333333335,0.5,0.5252525252525252,5.708333333333333,6.0,0.0,0.0,44.11764705882353,87.59124087591242,83.33333333333333,0
1000,3,350.0,8.0,5.71591630876078,8.0,10.666666666666666,2.6666666666666665,0.5833333333333334,0.6611111111111111,6.166666666666667,7.0,0.0,0.0,93.75,162.16216216216216,142.85714285714286,0
