n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
1000,1000042,1,8,0.06349206349206349,7.492063492063492,133.47457627118644,,,,,500,250,16,1.05,5.0,63,4,4,4,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,133.47457627118644,,,0.16856979997828603
1000,1000042,2,24,0.037914691943127965,23.09004739336493,43.30870279146141,,,,,500,250,16,1.05,5.0,211,8,8,16,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,43.30870279146141,,,0.16856979997828603
1000,1000042,3,38,0.04054054054054054,36.45945945945946,27.42772424017791,,,,,500,250,16,1.05,5.0,296,12,14,24,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,27.42772424017791,,,0.16856979997828603
1000,1000042,4,49,0.033766233766233764,47.345454545454544,21.121351766513058,,,,,500,250,16,1.05,5.0,385,13,17,32,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,21.121351766513058,,,0.16856979997828603
1000,1000042,5,66,0.0392156862745098,63.411764705882355,15.769944341372913,,,,,500,250,16,1.05,5.0,459,18,26,40,False,False,,,1.3393421884882986,1.298578071298605,36.45945945945946,47.345454545454544,63.411764705882355,15.769944341372913,,,0.16856979997828603
1000,1000043,1,10,0.03333333333333333,9.666666666666666,103.44827586206897,,,,,500,250,16,1.05,5.0,90,3,3,7,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,103.44827586206897,,,0.16419719997793436
1000,1000043,2,23,0.02727272727272727,22.372727272727275,44.69727752945956,,,,,500,250,16,1.05,5.0,220,6,7,16,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,44.69727752945956,,,0.16419719997793436
1000,1000043,3,41,0.04234527687296417,39.26384364820847,25.46872407499585,,,,,500,250,16,1.05,5.0,307,13,17,24,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,25.46872407499585,,,0.16419719997793436
1000,1000043,4,59,0.04591836734693878,56.29081632653061,17.764887156711684,,,,,500,250,16,1.05,5.0,392,18,27,32,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,17.764887156711684,,,0.16419719997793436
1000,1000043,5,75,0.0507399577167019,71.19450317124736,14.0460282108389,,,,,500,250,16,1.05,5.0,473,24,35,40,False,False,,,1.2647623150153615,1.4336552689766797,39.26384364820847,56.29081632653061,71.19450317124736,14.0460282108389,,,0.16419719997793436
