n_vars,level,samples,avg_unit_count,avg_chosen_unit_size,avg_affected_clauses,avg_pre_danger,avg_danger_rate,avg_stability,avg_IG,avg_useful_IG,avg_forced,D_pred,conflicts
1000,1,3,832.3333333333334,6.0,78.66666666666667,3.0,0.0403072607891885,0.9596927392108116,9.0,8.647287562950213,3.0,115.64319941024696,0
1000,2,3,734.3333333333334,16.0,216.0,6.333333333333333,0.029288080567150335,0.9707119194328496,22.666666666666668,22.00265619823759,6.666666666666667,45.44905810418016,0
1000,3,3,697.3333333333334,24.0,299.6666666666667,11.333333333333334,0.037763740939636706,0.9622362590603633,39.0,37.52263256742084,15.0,26.650582104099314,0
1000,4,3,651.0,32.0,387.6666666666667,13.666666666666666,0.03519711228815596,0.9648028877118441,51.666666666666664,49.80621809722476,19.666666666666668,20.07781434133263,0
1000,5,3,578.6666666666666,40.0,478.0,19.0,0.039945374026287034,0.9600546259737129,66.33333333333333,63.62440004934869,26.333333333333332,15.717240543319463,0
2000,1,3,1836.3333333333333,4.333333333333333,65.0,1.6666666666666667,0.026803118908382065,0.973196881091618,6.0,5.821637426900584,1.6666666666666667,343.54595680562534,0
2000,2,3,1773.3333333333333,9.666666666666666,142.66666666666666,3.6666666666666665,0.025630117009427356,0.9743698829905726,13.666666666666666,13.310486639796986,4.0,150.25746647160184,0
2000,3,3,1729.6666666666667,24.0,313.0,7.0,0.022362756033078024,0.977637243966922,31.333333333333332,30.63038336812294,7.333333333333333,65.29464473113325,0
2000,4,3,1697.0,32.0,428.6666666666667,9.0,0.020841761719199714,0.9791582382808003,42.333333333333336,41.43132978706006,10.333333333333334,48.27264802455473,0
2000,5,3,1667.0,27.666666666666668,352.0,9.333333333333334,0.01844465101198484,0.9815553489880151,38.666666666666664,37.61632563411659,11.0,53.1684040449202,0
