n,seed,colors,level,edge_count,avg_degree,unit_count,chosen_unit_size,IG,forced,affected_edges,dangerous_edges,danger_rate,useful_IG,D,sample_units,top_neighbors,runtime_seconds
1000,1000042,3,4,1500,3.0,96,32,33,1,75,2,0.02666666666666667,32.120000000000005,31.1332503113325,500,16,0.027970199997071177
1000,1000042,3,5,1500,3.0,85,40,41,1,100,2,0.02,40.18,24.888003982080637,500,16,0.03470349998679012
