n,level,samples,avg_danger_rate,avg_IG,avg_useful_IG,avg_D,avg_affected_edges,avg_dangerous_edges
1000,4,2,0.05,35.0,33.24444444444444,30.09575923392613,99.0,5.0
1000,5,2,0.056485066371681415,44.5,41.92512444690266,23.85425015978754,120.5,6.5
