size,depth,success,total,success_rate,false_success,avg_decision_steps,avg_forced_steps,avg_score_calls
18,1,5,5,1.0,0,6.0,12.0,185.8
18,2,5,5,1.0,0,7.8,10.2,8024.2
18,3,5,5,1.0,0,9.4,8.6,22818.2
22,1,5,5,1.0,0,6.2,15.8,215.8
22,2,5,5,1.0,0,6.8,15.2,11003.0
22,3,5,5,1.0,0,8.8,13.2,35384.4
26,1,5,5,1.0,0,6.2,19.8,228.2
26,2,5,5,1.0,0,5.2,20.8,16167.2
26,3,5,5,1.0,0,6.4,19.6,41423.6
30,1,5,5,1.0,0,5.0,25.0,240.0
30,2,5,5,1.0,0,5.6,24.4,19833.4
30,3,5,5,1.0,0,6.2,23.8,53892.4
