n_vars,clauses,ratio,formulas,dpll_sat,dpll_unsat,depth,success,sat_total,success_rate,avg_decision_steps,avg_forced_steps,avg_score_calls
12,51,4.25,10,8,2,1,7,8,0.875,3.25,6.75,59.0
12,51,4.25,10,8,2,2,8,8,1.0,4.375,6.875,1669.125
12,51,4.25,10,8,2,3,8,8,1.0,4.875,6.25,7598.5
14,60,4.285714285714286,10,9,1,1,9,9,1.0,2.3333333333333335,10.777777777777779,58.77777777777778
14,60,4.285714285714286,10,9,1,2,9,9,1.0,5.0,8.88888888888889,2304.222222222222
14,60,4.285714285714286,10,9,1,3,9,9,1.0,5.0,8.88888888888889,10032.444444444445
16,68,4.25,10,6,4,1,5,6,0.8333333333333334,4.0,11.0,97.33333333333333
16,68,4.25,10,6,4,2,6,6,1.0,5.666666666666667,9.5,3348.6666666666665
16,68,4.25,10,6,4,3,6,6,1.0,6.0,9.333333333333334,16939.666666666668
