case_id,formula_seed,n_vars,n_clauses,mode,success,direct_verified,steps,assigned_count
sat_n8_seed_80047,80047,8,32,lookahead_L_2,True,True,4,8
sat_n8_seed_80047,80047,8,32,lookahead_LG_2,True,True,3,8
sat_n8_seed_80048,80048,8,32,dpll_control,True,True,5,8
sat_n8_seed_80048,80048,8,32,random,False,False,8,8
sat_n8_seed_80048,80048,8,32,greedy_L,True,True,6,8
sat_n8_seed_80048,80048,8,32,greedy_LG,True,True,2,8
sat_n8_seed_80048,80048,8,32,lookahead_L_2,True,True,8,8
sat_n8_seed_80048,80048,8,32,lookahead_LG_2,True,True,2,8
sat_n8_seed_80049,80049,8,32,dpll_control,True,True,6,8
sat_n8_seed_80049,80049,8,32,random,False,False,8,8
sat_n8_seed_80049,80049,8,32,greedy_L,True,True,5,8
sat_n8_seed_80049,80049,8,32,greedy_LG,True,True,2,8
sat_n8_seed_80049,80049,8,32,lookahead_L_2,True,True,8,8
sat_n8_seed_80049,80049,8,32,lookahead_LG_2,True,True,3,8
sat_n10_seed_100042,100042,10,40,dpll_control,True,True,5,10
sat_n10_seed_100042,100042,10,40,random,False,False,10,10
sat_n10_seed_100042,100042,10,40,greedy_L,True,True,10,10
sat_n10_seed_100042,100042,10,40,greedy_LG,True,True,3,10
sat_n10_seed_100042,100042,10,40,lookahead_L_2,True,True,10,10
sat_n10_seed_100042,100042,10,40,lookahead_LG_2,True,True,4,10
sat_n10_seed_100043,100043,10,40,dpll_control,True,True,3,10
sat_n10_seed_100043,100043,10,40,random,False,False,10,10
sat_n10_seed_100043,100043,10,40,greedy_L,True,True,10,10
sat_n10_seed_100043,100043,10,40,greedy_LG,True,True,2,10
sat_n10_seed_100043,100043,10,40,lookahead_L_2,True,True,9,10
sat_n10_seed_100043,100043,10,40,lookahead_LG_2,True,True,3,10
sat_n10_seed_100044,100044,10,40,dpll_control,True,True,3,10
sat_n10_seed_100044,100044,10,40,random,False,False,10,10
sat_n10_seed_100044,100044,10,40,greedy_L,True,True,9,10
sat_n10_seed_100044,100044,10,40,greedy_LG,True,True,2,10
sat_n10_seed_100044,100044,10,40,lookahead_L_2,True,True,4,10
sat_n10_seed_100044,100044,10,40,lookahead_LG_2,True,True,2,10
sat_n10_seed_100045,100045,10,40,dpll_control,False,False,9,0
sat_n10_seed_100045,100045,10,40,random,False,False,10,10
sat_n10_seed_100045,100045,10,40,greedy_L,False,False,10,10
sat_n10_seed_100045,100045,10,40,greedy_LG,False,False,7,10
sat_n10_seed_100045,100045,10,40,lookahead_L_2,False,False,9,10
sat_n10_seed_100045,100045,10,40,lookahead_LG_2,False,False,9,10
sat_n10_seed_100046,100046,10,40,dpll_control,True,True,14,10
sat_n10_seed_100046,100046,10,40,random,False,False,10,10
sat_n10_seed_100046,100046,10,40,greedy_L,True,True,8,10
sat_n10_seed_100046,100046,10,40,greedy_LG,False,False,9,10
sat_n10_seed_100046,100046,10,40,lookahead_L_2,True,True,10,10
sat_n10_seed_100046,100046,10,40,lookahead_LG_2,True,True,5,10
sat_n10_seed_100047,100047,10,40,dpll_control,True,True,6,10
sat_n10_seed_100047,100047,10,40,random,False,False,10,10
sat_n10_seed_100047,100047,10,40,greedy_L,True,True,5,10
sat_n10_seed_100047,100047,10,40,greedy_LG,True,True,2,10
sat_n10_seed_100047,100047,10,40,lookahead_L_2,True,True,10,10
sat_n10_seed_100047,100047,10,40,lookahead_LG_2,True,True,3,10
sat_n10_seed_100048,100048,10,40,dpll_control,True,True,6,10
sat_n10_seed_100048,100048,10,40,random,False,False,10,10
sat_n10_seed_100048,100048,10,40,greedy_L,True,True,1,10
sat_n10_seed_100048,100048,10,40,greedy_LG,True,True,1,10
sat_n10_seed_100048,100048,10,40,lookahead_L_2,True,True,6,10
sat_n10_seed_100048,100048,10,40,lookahead_LG_2,True,True,1,10
sat_n10_seed_100049,100049,10,40,dpll_control,True,True,4,10
sat_n10_seed_100049,100049,10,40,random,False,False,10,10
sat_n10_seed_100049,100049,10,40,greedy_L,True,True,6,10
sat_n10_seed_100049,100049,10,40,greedy_LG,True,True,2,10
sat_n10_seed_100049,100049,10,40,lookahead_L_2,True,True,7,10
sat_n10_seed_100049,100049,10,40,lookahead_LG_2,True,True,3,10
