mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only
dpll_control,24,21,3,0.875,5.5,5.095238095238095
greedy_L,24,18,6,0.75,5.625,5.055555555555555
greedy_LG,24,18,6,0.75,3.0416666666666665,1.8888888888888888
lookahead_LG_2,24,21,3,0.875,3.1666666666666665,2.6666666666666665
lookahead_L_2,24,19,5,0.7916666666666666,5.958333333333333,5.631578947368421
random,24,0,24,0.0,8.0,
