mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only,avg_decision_steps,avg_forced_steps,avg_score_calls
guided_1,10,1,9,0.1,15.3,28.0,0.0,0.0,0.0
guided_2,10,5,5,0.5,69.8,34.8,0.0,0.0,0.0
guided_3,10,6,4,0.6,69.2,34.333333333333336,0.0,0.0,0.0
guided_4,10,8,2,0.8,50.5,32.75,0.0,0.0,0.0
guided_5,10,9,1,0.9,55.2,36.888888888888886,0.0,0.0,0.0
guided_6,10,8,2,0.8,72.8,36.0,0.0,0.0,0.0
guided_7,10,10,0,1.0,44.2,44.2,0.0,0.0,0.0
random,30,7,23,0.23333333333333334,41.5,71.42857142857143,0.0,0.0,0.0
