mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only
guided_1,6,1,5,0.16666666666666666,7.666666666666667,14.0
guided_2,6,2,4,0.3333333333333333,56.833333333333336,17.0
guided_3,6,5,1,0.8333333333333334,18.166666666666668,20.4
random,12,6,6,0.5,20.25,36.333333333333336
