mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only,avg_decision_steps,avg_forced_steps,avg_score_calls
guided_1,1,1,0,1.0,10.0,10.0,0.0,0.0,0.0
guided_2,1,1,0,1.0,10.0,10.0,0.0,0.0,0.0
guided_3,1,1,0,1.0,10.0,10.0,0.0,0.0,0.0
random,1,0,1,0.0,4.0,,0.0,0.0,0.0
