mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only
dpll_control,18,13,5,0.7222222222222222,9.777777777777779,8.846153846153847
greedy_L,18,9,9,0.5,11.61111111111111,9.444444444444445
greedy_LG,18,13,5,0.7222222222222222,5.333333333333333,2.6923076923076925
lookahead_LG_2,18,13,5,0.7222222222222222,5.722222222222222,3.6923076923076925
lookahead_L_2,18,9,9,0.5,11.944444444444445,10.777777777777779
random,18,0,18,0.0,14.0,
